,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,SolvationFreeEnergy Value (kJ / mol),SolvationFreeEnergy Uncertainty (kJ / mol),Source
0,e36bfdbbf23441a8a8f45eda7cc3c5d4,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)CC(C)(C)C,Solute,,1,12.09176,2.5104,10.1021/ct050097l
1,6e11899ef4574560a343a1fa780e0c64,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)(C)C,Solute,,1,10.50184,2.5104,10.1021/ct050097l
2,28013e4b85ec4785bdc118cbc7e865a9,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1cccc(C)c1,Solute,,1,-3.47272,2.5104,10.1021/ct050097l
3,b40278debcb74a0c8b643b594a9cf2ac,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1ccc(C(C)C)cc1,Solute,,1,-2.8451200000000005,2.5104,10.1021/ct050097l
4,ac0da929a5e64912942d25d4f57f383b,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=CCC,Solute,,1,5.77392,2.5104,10.1021/ct050097l
5,b0f31d64389543c58d7858cc278ec866,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC(C)C,Solute,,1,9.95792,2.5104,10.1021/ct050097l
6,90c1b2cf0c6a437eb4650dfa9b661b8b,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1ccccc1,Solute,,1,-3.7656,0.8368000000000001,10.1039/P29900000291
7,27b3da955a174e75b075350e20111170,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=C(C)CCC,Solute,,1,6.15048,2.5104,10.1021/ct050097l
8,365ff35f02e649ff960c6d5bf8645c78,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCC,Solute,,1,8.7864,0.8368000000000001,10.1039/P29900000291
9,1f0a41070ae64e478cc3b56c7b252eba,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1cc(C)cc(C)c1,Solute,,1,-3.7656,2.5104,10.1021/ct050097l
