,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,SolvationFreeEnergy Value (kJ / mol),SolvationFreeEnergy Uncertainty (kJ / mol),Source
0,265c7378309c4355aa01d60af70d3fca,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCC(=O)OC,Solute,,1,-10.418160000000002,2.5104,10.1021/ct050097l
1,f89c43a7ef684aca89df924b29c487b1,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCO,Solute,,1,-19.74848,2.5104,10.1021/ct050097l
2,198b886769694cc39828af5af498fd24,298.15,101.325,Liquid,2,O,Solvent,1.0,,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,Solute,,1,-12.71936,0.4184,10.1007/s10822-012-9568-8
3,6cdf0d7abd354d8284ffe115d4c0ef33,298.15,101.325,Liquid,2,O,Solvent,1.0,,NC1CCCCC1,Solute,,1,-19.20456,2.5104,10.1021/ct050097l
4,e3e4778832a240eba754b5d4d010d21d,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=COc1ccccc1,Solute,,1,-15.98288,2.5104,10.5281/zenodo.596537
5,a0c0672628d74756ac1205bef752c43c,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC(=O)OC,Solute,,1,-12.25912,2.5104,10.1021/ct050097l
6,d848fbc2181b41efb66185c890e2da6d,298.15,101.325,Liquid,2,O,Solvent,1.0,,Clc1cccc(Cl)c1,Solute,,1,-4.10032,2.5104,10.1021/ct050097l
7,8d8a892e456a47a0b591ec71ea4d4c44,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCI,Solute,,1,-3.09616,2.5104,10.1021/ct050097l
8,e36bfdbbf23441a8a8f45eda7cc3c5d4,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)CC(C)(C)C,Solute,,1,12.09176,2.5104,10.1021/ct050097l
9,7d2a69582b09493ebd1085e5fc9b6a9f,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCOCC,Solute,,1,-6.65256,2.5104,10.1021/ct050097l
10,5d131ae22ede4779bdaf96bbf88f141b,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,Solute,,1,-15.69,0.87864,10.5281/zenodo.596537
11,06044667291443f694e85d4fb97f9bca,298.15,101.325,Liquid,2,O,Solvent,1.0,,Oc1ccccc1Cl,Solute,,1,-19.0372,2.5104,10.1021/ct050097l
12,e3427d4f59fd43199d0a01091cad48a2,298.15,101.325,Liquid,2,O,Solvent,1.0,,CSc1ccccc1,Solute,,1,-11.42232,2.5104,10.1021/ct050097l
13,28db2938ed244607978170399d790238,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCI,Solute,,1,-2.2175200000000004,2.5104,10.1021/ct050097l
14,480a1058a6fb41869b6e4f420fa90a5d,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)Cl,Solute,,1,-1.046,2.5104,10.1021/ct050097l
15,59be1706e1cd4450b2e16f7c33108e1b,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCC[N+](=O)[O-],Solute,,1,-11.79888,2.5104,10.1021/ct050097l
16,7276bc1ff41e48d78ce55c649b27f83c,298.15,101.325,Liquid,2,O,Solvent,1.0,,OC1CCCCCC1,Solute,,1,-22.928320000000003,2.5104,10.1021/ct050097l
17,6e11899ef4574560a343a1fa780e0c64,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)(C)C,Solute,,1,10.50184,2.5104,10.1021/ct050097l
18,ed8c7de1da5045de97a897d07323372a,298.15,101.325,Liquid,2,O,Solvent,1.0,,ClC(Cl)(Cl)C(Cl)(Cl)Cl,Solute,,1,-2.67776,0.4184,10.1007/s10822-010-9350-8
19,4bcc1cb0ed4b4e97bb157ea9056605aa,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCOCCCC,Solute,,1,-3.47272,2.5104,10.1021/ct050097l
