,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
0,6385,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.2452,,O,Solvent,0.7548,,0.889889664124307,0.000834352905391046,,,SimulationLayer
1,6386,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.505,,O,Solvent,0.495,,0.8598734039179847,0.0005515658094899905,,,SimulationLayer
2,6387,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.7907,,O,Solvent,0.2093,,0.8414785107159287,0.000529320438075072,,,SimulationLayer
3,6388,298.15,101.3,Liquid,2,CN(C)CCO,Solvent,0.26433,,O,Solvent,0.73567,,0.941174578004259,0.0008438071077640399,,,SimulationLayer
4,6389,298.15,101.3,Liquid,2,CN(C)CCO,Solvent,0.5077,,O,Solvent,0.4923,,0.9217636206167235,0.0007996718892800627,,,SimulationLayer
5,6390,298.15,101.3,Liquid,2,CN(C)CCO,Solvent,0.7652,,O,Solvent,0.2348,,0.907727407827988,0.0009116751326883574,,,SimulationLayer
6,6391,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.2052,,O,Solvent,0.7948,,,,-1.2100917469368913,0.049795720411337015,SimulationLayer
7,6392,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.5365,,O,Solvent,0.4635,,,,-1.8490203464867463,0.10947928399514564,SimulationLayer
8,6393,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.7996,,O,Solvent,0.2004,,,,-1.1279507727906406,0.13211580289634306,SimulationLayer
9,6394,298.15,101.0,Liquid,2,CCN(CC)CCO,Solvent,0.19329,,O,Solvent,0.80671,,0.925602001736576,0.000738966367738379,,,SimulationLayer
10,6395,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.2008,,O,Solvent,0.7992,,,,-1.1992859795996633,0.056939551409532455,SimulationLayer
11,6396,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.5002,,O,Solvent,0.4998,,,,-1.9351066773476333,0.10256875636830014,SimulationLayer
12,6397,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.7003,,O,Solvent,0.2997,,,,-1.7543165953440507,0.11411269971272013,SimulationLayer
13,6398,298.15,101.0,Liquid,2,Cn1ccnc1,Solvent,0.2167,,O,Solvent,0.7833,,1.0066056320359247,0.0007293024446080427,,,SimulationLayer
14,6399,298.15,101.0,Liquid,2,Cn1ccnc1,Solvent,0.4982,,O,Solvent,0.5018,,1.0210981878453795,0.0006595910999878241,,,SimulationLayer
15,6400,298.15,101.0,Liquid,2,Cn1ccnc1,Solvent,0.7795,,O,Solvent,0.2205,,1.0243029527818528,0.0005290036013782444,,,SimulationLayer
16,6401,298.14,101.325,Liquid,2,CN(CCO)CCO,Solvent,0.2571,,O,Solvent,0.7429,,1.0385643166557412,0.0008786747020948487,,,SimulationLayer
17,6402,298.15,101.325,Liquid,2,CN(CCO)CCO,Solvent,0.4849,,O,Solvent,0.5151,,1.0479954990074158,0.0009435212611130384,,,SimulationLayer
18,6403,298.15,101.325,Liquid,2,CN(CCO)CCO,Solvent,0.743,,O,Solvent,0.257,,1.0454735280637,0.0008408864205715267,,,SimulationLayer
19,6404,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.2593,,O,Solvent,0.7407,,,,-1.2076088025027971,0.07045686474632833,SimulationLayer
20,6405,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.4941,,O,Solvent,0.5059,,,,-1.2040401134490537,0.12281370887258337,SimulationLayer
21,6406,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.7411,,O,Solvent,0.2589,,,,-0.029392516210464237,0.11853172569844567,SimulationLayer
22,6407,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1987,,O,Solvent,0.8013,,0.984141752389278,0.0007370669152512458,,,SimulationLayer
23,6408,298.15,101.0,Liquid,2,CNCCO,Solvent,0.5041,,O,Solvent,0.4959,,0.9763521439008275,0.0008352623714212598,,,SimulationLayer
24,6409,298.15,101.0,Liquid,2,CNCCO,Solvent,0.8009,,O,Solvent,0.1991,,0.9698017917391798,0.0011337774127907108,,,SimulationLayer
25,6410,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1992,,O,Solvent,0.8008,,,,-0.9443242830383625,0.04418523466386001,SimulationLayer
26,6411,298.15,101.0,Liquid,2,CNCCO,Solvent,0.5017,,O,Solvent,0.4983,,,,-1.7584126758621608,0.08819485513534549,SimulationLayer
27,6412,298.15,101.0,Liquid,2,CNCCO,Solvent,0.7988,,O,Solvent,0.2012,,,,-0.6586639740607154,0.1382376588606868,SimulationLayer
28,6413,298.15,100.0,Liquid,2,O,Solvent,0.7144,,OCCNCCO,Solvent,0.2856,,1.084973565787514,0.0007716766722541694,,,SimulationLayer
29,6414,298.15,100.0,Liquid,2,O,Solvent,0.5933,,OCCNCCO,Solvent,0.4067,,1.0964469522153961,0.0010833987363869733,,,SimulationLayer
30,6415,293.15,101.0,Liquid,2,O,Solvent,0.299958,,OCCNCCO,Solvent,0.700042,,1.107042114491271,0.0008111569907113098,,,SimulationLayer
31,6416,298.15,101.0,Liquid,2,O,Solvent,0.7057,,OCCNCCO,Solvent,0.2943,,,,-2.5677737971396937,0.08972867884294446,SimulationLayer
32,6417,298.15,101.0,Liquid,2,O,Solvent,0.5031,,OCCNCCO,Solvent,0.4969,,,,-1.8178858446528423,0.10607723803476311,SimulationLayer
33,6418,298.15,101.0,Liquid,2,O,Solvent,0.2579,,OCCNCCO,Solvent,0.7421,,,,-1.9193954307268513,0.14353449170953575,SimulationLayer
34,6419,298.15,101.3,Liquid,2,O,Solvent,0.892217,,OCCN(CCO)CCO,Solvent,0.107783,,1.0620245142881217,0.0007114174394847634,,,SimulationLayer
35,6420,303.15,100.0,Liquid,2,O,Solvent,0.7937,,OCCN(CCO)CCO,Solvent,0.2063,,,,-1.4831984956769695,0.08983149980545173,SimulationLayer
36,6421,303.15,100.0,Liquid,2,O,Solvent,0.5098,,OCCN(CCO)CCO,Solvent,0.4902,,,,-3.4170297120999322,0.14044311848482394,SimulationLayer
37,6422,303.15,100.0,Liquid,2,O,Solvent,0.29,,OCCN(CCO)CCO,Solvent,0.71,,,,-0.39644195581757913,0.17971610311532238,SimulationLayer
38,6429,298.15,101.0,Liquid,2,O,Solvent,0.699,,OCCOCCO,Solvent,0.301,,1.0910147595284383,0.0006034139360509556,,,SimulationLayer
39,6430,298.15,101.0,Liquid,2,O,Solvent,0.4994,,OCCOCCO,Solvent,0.5006,,1.108585747276409,0.0007674442124694231,,,SimulationLayer
