,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
0,6385,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.2452,,O,Solvent,0.7548,,0.9038110000000004,,,,10.1016/j.fluid.2010.05.001
1,6386,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.505,,O,Solvent,0.495,,0.8581580000000002,,,,10.1016/j.fluid.2010.05.001
2,6387,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.7907,,O,Solvent,0.2093,,0.8260470000000002,,,,10.1016/j.fluid.2010.05.001
3,6388,298.15,101.3,Liquid,2,CN(C)CCO,Solvent,0.26433,,O,Solvent,0.73567,,0.9590000000000002,,,,10.1021/acs.jced.6b00888
4,6389,298.15,101.3,Liquid,2,CN(C)CCO,Solvent,0.5077,,O,Solvent,0.4923,,0.9237220000000002,,,,10.1016/j.jct.2004.11.016
5,6390,298.15,101.3,Liquid,2,CN(C)CCO,Solvent,0.7652,,O,Solvent,0.2348,,0.8989030000000002,,,,10.1016/j.jct.2004.11.016
6,6391,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.2052,,O,Solvent,0.7948,,,,-2.587,,10.1016/j.jct.2007.03.010
7,6392,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.5365,,O,Solvent,0.4635,,,,-2.575,,10.1016/j.jct.2007.03.010
8,6393,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.7996,,O,Solvent,0.2004,,,,-1.247,,10.1016/j.jct.2007.03.010
9,6394,298.15,101.0,Liquid,2,CCN(CC)CCO,Solvent,0.19329,,O,Solvent,0.80671,,0.9615690000000002,,,,10.1021/je301371p
10,6395,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.2008,,O,Solvent,0.7992,,,,-2.185,,10.1016/j.jct.2015.04.030
11,6396,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.5002,,O,Solvent,0.4998,,,,-2.504,,10.1016/j.jct.2015.04.030
12,6397,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.7003,,O,Solvent,0.2997,,,,-1.75,,10.1016/j.jct.2015.04.030
13,6398,298.15,101.0,Liquid,2,Cn1ccnc1,Solvent,0.2167,,O,Solvent,0.7833,,1.0301000000000002,,,,10.1016/j.jct.2012.06.015
14,6399,298.15,101.0,Liquid,2,Cn1ccnc1,Solvent,0.4982,,O,Solvent,0.5018,,1.0416,,,,10.1016/j.jct.2012.06.015
15,6400,298.15,101.0,Liquid,2,Cn1ccnc1,Solvent,0.7795,,O,Solvent,0.2205,,1.0360000000000005,,,,10.1016/j.jct.2012.06.015
16,6401,298.14,101.325,Liquid,2,CN(CCO)CCO,Solvent,0.2571,,O,Solvent,0.7429,,1.0522550000000004,,,,10.1021/je030120x
17,6402,298.15,101.325,Liquid,2,CN(CCO)CCO,Solvent,0.4849,,O,Solvent,0.5151,,1.048636,,,,10.1021/je030120x
18,6403,298.15,101.325,Liquid,2,CN(CCO)CCO,Solvent,0.743,,O,Solvent,0.257,,1.0405100000000005,,,,10.1021/je030120x
19,6404,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.2593,,O,Solvent,0.7407,,,,-2.271,,10.1016/j.jct.2007.03.010
20,6405,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.4941,,O,Solvent,0.5059,,,,-2.072,,10.1016/j.jct.2007.03.010
21,6406,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.7411,,O,Solvent,0.2589,,,,-1.154,,10.1016/j.jct.2015.06.006
22,6407,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1987,,O,Solvent,0.8013,,0.9960300000000002,,,,10.1021/je060457+
23,6408,298.15,101.0,Liquid,2,CNCCO,Solvent,0.5041,,O,Solvent,0.4959,,0.9688100000000002,,,,10.1021/je060457+
24,6409,298.15,101.0,Liquid,2,CNCCO,Solvent,0.8009,,O,Solvent,0.1991,,0.9466300000000002,,,,10.1021/je060457+
25,6410,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1992,,O,Solvent,0.8008,,,,-2.243,,10.1016/j.jct.2007.03.010
26,6411,298.15,101.0,Liquid,2,CNCCO,Solvent,0.5017,,O,Solvent,0.4983,,,,-2.508,,10.1016/j.jct.2007.03.010
27,6412,298.15,101.0,Liquid,2,CNCCO,Solvent,0.7988,,O,Solvent,0.2012,,,,-1.219,,10.1016/j.jct.2007.03.010
28,6413,298.15,100.0,Liquid,2,O,Solvent,0.7144,,OCCNCCO,Solvent,0.2856,,1.0810000000000002,,,,10.1021/je300345m
