#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-49442.24388280825,37382.08328338669,-12060.160599421564,321.1450852068741,126.6442054938672,0.787960802463572,0
2000,-48839.89975076253,36347.814422046096,-12492.085328716435,312.25980294253185,128.34857233084273,0.7774973104576479,706
3000,-49130.17110791264,36748.33081878323,-12381.84028912941,315.7005922474463,128.15765942295215,0.7786555266195607,703
4000,-49347.49548848813,36441.30587553856,-12906.189612949573,313.06297703452515,126.78971478972342,0.7870565049681566,703
5000,-48622.51377345662,35969.1984701967,-12653.315303259922,309.00715778641256,128.55315848482064,0.7762599609724271,704
6000,-49260.13953371302,36723.27847716815,-12536.861056544876,315.48537052420477,128.55770177350493,0.7762325275861104,704
7000,-49735.44398003683,36290.20449306129,-13445.239486975537,311.76488281161426,127.60212379096285,0.7820455241935134,705
8000,-49275.86613035003,36982.34486124748,-12293.521269102544,317.71097939032086,127.1229697962865,0.7849932230833093,704
9000,-48995.1921772176,35958.18744503397,-13037.004732183632,308.91256336300137,127.71338126560559,0.7813642454644153,704
10000,-49031.33295688438,36991.777888713405,-12039.555068170972,317.7920174209287,128.99370872238035,0.7736088122179519,705
11000,-49151.2581570082,36687.5670879313,-12463.6910690769,315.17857817525027,128.36687293894784,0.7773864666452555,706
12000,-48376.76236861713,36672.56164599651,-11704.200722620619,315.04966818668214,129.22949694993216,0.7721973090011436,675
13000,-49503.925345175594,35584.78326512175,-13919.142080053847,305.70469192722703,127.42230698158549,0.7831491373227956,678
14000,-49846.119189198915,35999.857826630025,-13846.26136256889,309.2705487151504,126.95664259065472,0.7860216507935183,680
15000,-49652.97336895525,37007.33843391687,-12645.634935038383,317.92569623645505,127.85383422209674,0.7805058831083729,681
16000,-49027.171556951245,36660.74313841715,-12366.428418534095,314.9481367767064,127.60384247641362,0.7820349908879467,683
17000,-49285.52092165634,35992.51406513236,-13293.006856523978,309.20745932299354,127.99431541540253,0.7796492325806881,685
18000,-48711.90547555062,36718.67975014915,-11993.22572540147,315.445863400721,128.22432290916134,0.7782507056715313,685
19000,-48553.95052595093,36619.615941280186,-11934.334584670745,314.5948178584229,127.12198124464203,0.7849993275062735,669
20000,-48964.49841770306,36601.98381706004,-12362.514600643015,314.4433423509684,128.50499229153482,0.7765509184414989,672
21000,-50055.76368232703,36410.276578327735,-13645.487103999294,312.7964079880347,127.39079077042146,0.7833428867566089,673
22000,-49196.73570859665,36031.12572753259,-13165.609981064059,309.53916757792143,127.97005187111935,0.779797056648925,641
23000,-49234.123842254834,36632.40507315762,-12601.718769097213,314.704687787698,126.9645479425614,0.7859727097477187,643
24000,-48729.8384386698,36287.15343913912,-12442.684999530684,311.7386715658584,127.62947544298196,0.7818779278215419,646
25000,-49576.71951278522,37070.55889350332,-12506.160619281894,318.4688157765512,127.3410635104181,0.7836487856891896,648
26000,-49280.17993159966,37106.52752745029,-12173.652404149369,318.7778180845849,127.66997138093278,0.7816299221260156,650
27000,-49390.34484584999,36368.86237618464,-13021.482469665352,312.44062344346565,127.43674838149532,0.7830603892181496,653
28000,-49364.04366826598,36202.003046566184,-13162.040621699794,311.00715454817555,127.15237112895319,0.784811709780112,655
29000,-48801.82724361087,37348.40840276756,-11453.418840843304,320.8557882641709,126.40246915641582,0.7894677252295118,656
30000,-49655.94637393742,36644.77030696188,-13011.176066975539,314.8109160584331,125.86350692034326,0.7928483182298809,657
31000,-49898.59084789691,36746.40364164316,-13152.187206253744,315.6840360950734,126.54314028299399,0.7885901168972324,659
32000,-49199.08307199461,35853.08278824314,-13346.00028375147,308.0096216059878,126.83581518249106,0.7867704373936536,651
33000,-49014.264485925465,36759.0628011153,-12255.201684810163,315.7927894466859,127.38984281952264,0.783348715875926,653
34000,-49085.79027777954,36507.18527298996,-12578.605004789577,313.62893919740196,127.32754948929433,0.7837319589402724,654
35000,-49088.128001581106,36897.01521731357,-12191.112784267534,316.9779224452574,127.78985466032516,0.7808966529742135,656
36000,-48469.61233039484,36413.13511429824,-12056.477216096602,312.820965334688,128.7967736501473,0.7747916889546634,657
37000,-48974.44390188999,36429.88408525047,-12544.559816639514,312.96485377618563,126.51552317747407,0.7887622584330958,658
38000,-48861.144413748974,36749.50099091199,-12111.643422836984,315.71064505871277,126.57400268127446,0.7883978358462095,659
39000,-49119.135184956715,37220.4845377562,-11898.650647200513,319.75680937052203,127.70979158594545,0.7813862081291747,660
