#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-49460.92585917015,22615.161527666012,-26845.76433150414,317.94023806008715,78.76471236884657,0.8278108964089677,0
2000,-49755.916629226645,22659.766577013073,-27096.150052213572,318.56732798782156,78.9513026942434,0.8258544815145082,661
3000,-50164.62854980206,22139.306001914858,-28025.3225478872,311.25031816035766,78.31179655234521,0.8325985358778843,659
4000,-49806.92843367311,22557.230885389094,-27249.697548284013,317.1258073440401,78.56922384087521,0.8298705773586661,660
5000,-49907.59922102542,22143.604112285477,-27763.995108739942,311.3107440933217,77.6415617833016,0.8397858782571844,662
6000,-49592.499381252914,21953.821505269945,-27638.67787598297,308.64264343967983,78.8011543392712,0.8274280713037129,662
7000,-49710.495162222534,22447.219306215513,-27263.27585600702,315.579185285691,78.53228854977642,0.8302608819316651,663
8000,-50345.78314555669,22600.202660375162,-27745.58048518153,317.72993552381104,78.46162929102533,0.8310085801252589,664
9000,-49844.41004545655,22290.242775191335,-27554.167270265214,313.37229608958165,78.12246125761595,0.8346163971516319,662
10000,-49963.123773985135,22265.357527595872,-27697.766246389263,313.0224413456743,77.52307231706222,0.8410694416854125,662
11000,-50426.24899115175,22841.0665435231,-27585.18244762865,321.11617356833915,78.18761917131745,0.8339208667881827,661
12000,-49363.77739693294,22222.12664044635,-27141.650756486593,312.4146703803839,78.33354782860648,0.8323673439904923,643
13000,-49764.837401694036,22623.18295391044,-27141.654447783596,318.05300905076143,77.94422230165586,0.8365249562579088,644
14000,-49539.6017453926,22518.20353427053,-27021.398211122072,316.57713271749316,78.34745927845104,0.8322195480483544,645
15000,-50013.2223041064,22521.49048018893,-27491.731823917467,316.62334297190625,77.69478032102646,0.8392106507289235,647
16000,-50094.94801753218,22291.85087307629,-27803.09714445589,313.3949038885019,77.65540388291916,0.8396361861661898,647
