#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,57665.619992561406,39793.68537028103,97459.30536284244,299.03656702986405,132.63093556122806,0.9067379126640883,0
10000,57159.83505535126,40011.422781625944,97171.2578369772,300.6727926620639,133.60975424726496,0.9000951939699786,583
15000,57847.58320891368,39432.66890612234,97280.25211503601,296.3236460455738,133.20622962487582,0.9028218725516325,578
20000,57504.392329121416,39989.73088036161,97494.12320948302,300.50978509877643,133.1706826257612,0.9030628610910879,580
25000,57704.876224172534,38934.73040879474,96639.60663296728,292.58180063851194,132.81929133825008,0.9054520352710203,580
30000,57629.97500227025,39836.328047598305,97466.30304986855,299.3570128421899,132.48225147005442,0.9077555395611342,581
35000,57285.601899645466,39610.43890885682,96896.0408085023,297.6595296372532,132.99687171676356,0.9042430555929746,580
40000,57948.75493516831,39541.97735008751,97490.73228525583,297.1450633515249,134.31505590796655,0.8953687049639245,581
45000,57505.293880761135,39743.422167287645,97248.71604804878,298.6588554524816,133.76441293023572,0.8990545020983646,581
50000,57619.046333162405,39319.00311811686,96938.04945127926,295.4694847202876,133.26584929832427,0.9024179735369408,581
55000,57384.340923135285,39660.830942401764,97045.17186553705,298.03820933421304,132.60151307214306,0.9069391055895701,582
60000,57052.98564735934,39738.479575914935,96791.46522327428,298.62171349031917,131.91776519927765,0.9116398953833372,577
65000,56722.39162464696,39539.862133226,96262.25375787297,297.12916818667895,132.22293674820395,0.9095358235348429,577
70000,57311.00910080172,39371.63251397014,96682.64161477186,295.8649774652891,132.82309878489164,0.9054260799940969,576
75000,57198.92485910113,40046.066176806075,97244.99103590721,300.9331264780582,132.96816396618843,0.9044382811516719,577
80000,57561.59819471039,39262.3803203699,96823.97851508029,295.0439828624847,132.90326627161315,0.904879925371404,577
85000,57013.73585226177,39736.702103793636,96750.43795605541,298.60835636704195,132.6074305050036,0.906898634620142,578
90000,57149.37662405975,39301.53586456467,96450.91248862442,295.33822400670743,132.7519145991798,0.9059115872534177,578
95000,57153.6619350072,39785.048218313204,96938.7101533204,298.9716616497932,132.56814842410023,0.9071673633152303,577
100000,56644.564925159095,39069.08942095107,95713.65434611017,293.59146479429177,132.42150325877694,0.9081719713637382,578
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,57122.73068427702,39467.69554097502,96590.42622525204,296.5868597827156,132.46203651972905,0.9078940715784726,0
110000,57162.53290552995,39701.95871555359,96864.49162108355,298.3472711358146,133.55704564539548,0.9004504186531417,575
115000,57060.736820656806,39645.4469279369,96706.1837485937,297.9226034829353,132.92271959679488,0.9047474956145343,548
120000,57026.58592351666,39935.13937536221,96961.72529887887,300.0995477434747,134.0140787258022,0.897379579883787,560
125000,57591.25677234301,39394.71052652694,96985.96729886995,296.03840120286566,133.71836691466814,0.8993640921610832,565
130000,56596.926217679866,39561.936919532236,96158.8631372121,297.29505300618007,132.3022686504427,0.9089904420552105,567
135000,56730.71671946702,39479.69075494194,96210.40747440896,296.6769999034931,133.15518976154166,0.9031679342039995,570
140000,56769.88137538021,39928.268820030156,96698.15019541036,300.04791776095436,133.37698848304692,0.9016660147545554,572
145000,57544.36150766164,39275.1666564277,96819.52816408934,295.1400680077543,133.48537476401515,0.90093388791154,573
150000,56911.61668308248,39470.10268693671,96381.71937001919,296.60494869953806,133.70235731653923,0.8994717825412384,574
155000,57444.926055818156,39935.07960078689,97380.00565660505,300.09909855703637,133.7446036587083,0.899187663469088,574
160000,57761.825412742444,39968.79322439887,97730.6186371413,300.3524454429368,133.1496022193851,0.9032058350976013,570
165000,56912.18890619645,39516.93701181914,96429.12591801558,296.95689337622946,132.65851029341832,0.9065494358369841,571
170000,56003.11651632021,39394.61056814085,95397.72708446106,296.03765004819513,133.11282114713683,0.9034554044387773,572
175000,57905.08058895363,39856.76010327914,97761.84069223277,299.5105530768102,133.06893895101072,0.9037533372814174,573
180000,57185.7214400518,39420.69497162598,96606.41641167778,296.23366583307745,132.56066831847033,0.9072185527652209,573
185000,56966.901881950675,39557.04019308623,96523.9420750369,297.2582557039832,132.81450748055394,0.9054846488293551,573
190000,57579.537247804576,39662.86411028023,97242.40135808481,298.05348792771133,133.3631433989149,0.901759621140211,573
195000,56583.37135706656,40160.65164230421,96744.02299937076,301.79419887975325,132.62993163214827,0.9067447761265592,574
200000,57275.869288807095,40029.77989660344,97305.64918541053,300.810740394031,133.13407253288193,0.9033111913238477,574
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
205000,56859.30459320574,39639.509070030166,96498.81366323591,297.8779824173713,133.1087877253245,0.9034827806683785,0
210000,57215.976510910084,40077.66301243317,97293.63952334326,301.170566392633,134.07304895619407,0.8969848795246417,582
215000,56453.28234929766,39910.52139471033,96363.803744008,299.9145516479172,131.61903176050578,0.9137090286783233,581
220000,57401.10426140996,39880.21389716825,97281.31815857821,299.6868006885396,132.69992205114198,0.9062665283188701,582
225000,56661.15943567187,40005.53524894615,96666.69468461802,300.628549774167,134.0228577459265,0.8973207980198314,580
230000,57002.38224520057,39480.83708041082,96483.2193256114,296.68561416552285,134.38527112149032,0.894900882082169,580
235000,57305.22486059985,39195.639090581026,96500.86395118087,294.54244428796704,132.76859624490044,0.9057977644325083,581
240000,56931.463206916174,39545.26529367024,96476.72850058641,297.16977117520145,132.77705202936005,0.9057400795348322,581
245000,57328.93459330668,39967.88034459225,97296.81493789893,300.34558544892167,133.06589368732432,0.9037740200209476,582
250000,56744.32074445515,39585.45714723339,96329.77789168854,297.47179984634,133.2089140937452,0.9028036785949596,581
255000,57079.01180841116,40150.70039531676,97229.71220372792,301.719418504196,133.131059465409,0.9033316353703342,581
260000,57517.91508334741,39685.59708560031,97203.51216894772,298.2243188229862,134.336054336137,0.895228747485419,562
265000,57170.85618438327,40017.50345454422,97188.35963892749,300.71848693586116,133.62308321103,0.9000054090620329,563
270000,57163.087672883295,39202.86250991973,96365.95018280303,294.59672592841235,133.6074643262445,0.9001106208543632,565
