#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-29777.41530888481,20140.111336032132,-9637.303972852678,309.59849453058393,67.56148782743078,0.9327285593691498,0
2000,-29613.160073110834,19848.247161086092,-9764.912912024742,305.1118902778535,67.18602537516136,0.93794102059523,617
3000,-29668.85737889621,19743.597693244625,-9925.259685651585,303.5031942206882,67.84714239133945,0.9288015233808845,609
4000,-30117.380317864474,19617.58721203539,-10499.793105829085,301.5661316778582,67.44699776694827,0.9343118492517467,611
5000,-29882.749594824738,19729.63733850634,-10153.112256318396,303.28859238766097,67.2464973122998,0.9370975698178076,613
6000,-29889.556741332868,19487.521022612887,-10402.03571871998,299.5667238412941,67.75792638721663,0.9300244645917134,613
7000,-30093.066669775755,19642.567930807476,-10450.49873896828,301.95014112026354,67.09414861659522,0.9392254095095444,611
8000,-29472.051633583964,19413.835853276512,-10058.215780307451,298.4340182114618,67.48479302758106,0.9337885823308518,611
9000,-29780.214490624727,19846.924934648705,-9933.289555976022,305.09156470429474,67.34160566565535,0.9357740818207828,612
10000,-29900.329473328544,19510.960623700274,-10389.36884962827,299.9270428627719,67.84756123243392,0.928795789641314,613
11000,-29836.678963272832,19693.48522955362,-10143.193733719214,302.7328537266813,67.79331875408108,0.9295389334560692,614
12000,-30315.336679865606,19879.761008953938,-10435.575670911669,305.5963285063203,67.10211962385311,0.9391138396724368,599
13000,-29699.64251753909,19331.403165087882,-10368.239352451208,297.16684367913194,67.40104793143469,0.934948804864591,599
14000,-30267.497536015348,19673.83510457614,-10593.662431439207,302.4307874168749,67.40218511869287,0.9349330307191966,600
15000,-29990.002611509524,19710.173171467177,-10279.829440042347,302.9893846667068,67.59346078041249,0.932287361566447,601
16000,-29234.52229976782,19430.51532793252,-9804.0069718353,298.690418990827,67.64648808565543,0.9315565522089335,602
17000,-29546.730584589182,19739.37161998385,-9807.358964605333,303.4382300356606,67.54635218231513,0.9329375632310569,603
18000,-29768.778810591437,19650.700160030112,-10118.078650561325,302.0751516468936,67.06312996511818,0.939659828625549,604
19000,-30106.121390224318,19905.5671401143,-10200.554250110017,305.99302638070657,67.06787992613586,0.939593278921566,604
20000,-29789.22471448686,20056.145897832335,-9733.078816654524,308.307758207158,66.91687346119205,0.9417135910670101,605
21000,-29699.7152169717,19303.815950543765,-10395.899266427936,296.742766575056,67.31753414675936,0.9361086975160612,605
22000,-29776.880584192462,19810.631796264996,-9966.248787927467,304.533658105969,67.27292108578386,0.9367294922389292,599
23000,-29692.29626909655,19647.057061670886,-10045.239207425664,302.0191490881875,67.19785177249457,0.9377759489018338,600
24000,-29474.89457173925,19951.811485617378,-9523.083086121871,306.7039052586545,67.5411120030695,0.933009945220505,599
25000,-29379.737537107896,19884.22898431319,-9495.508552794705,305.6650112668942,67.74278507241812,0.9302323360746122,600
26000,-29832.653794489102,19396.177882449916,-10436.475912039186,298.1625757604661,66.96615146897888,0.9410206175474692,600
27000,-29793.091485776473,19322.48674748265,-10470.604738293823,297.02977842556265,67.488969729247,0.9337307927936414,601
28000,-29900.91648650216,19598.595794458804,-10302.320692043355,301.27419117203823,67.73951842105028,0.9302771953355558,601
29000,-30315.03785024886,19604.89376774618,-10710.14408250268,301.3710050881002,67.4990602078859,0.9335912087669874,601
30000,-30207.6368156611,19739.439727024856,-10468.197088636243,303.4392769929991,66.84445045703795,0.942733896071412,601
31000,-29868.530722709023,19642.460360078683,-10226.07036263034,301.94848751790084,67.0746219626408,0.9394988352705855,602
32000,-29603.44473028544,19750.024382878462,-9853.420347406976,303.6019867944856,67.42415501927978,0.9346283864009337,598
33000,-30182.638237274135,19946.674664301856,-10235.96357297228,306.62494084185346,67.49922343280551,0.9335889511802741,598
34000,-29787.895651897183,19852.406580863688,-9935.489071033495,305.175829849973,67.34106522756647,0.9357815917696483,599
35000,-29812.025724925683,19661.446041903542,-10150.57968302214,302.2403398524059,67.58989235730554,0.9323365818810133,599
36000,-29603.67360187054,19866.30217972991,-9737.37142214063,305.38943624061335,67.6925913728375,0.9309220984469807,600
37000,-29656.987901260727,19361.816232205507,-10295.17166905522,297.63436044885447,67.74847448361415,0.9301542166142389,600
38000,-29849.814911494614,19738.435038655818,-10111.379872838796,303.4238326887777,67.74600142379846,0.930188171784539,600
39000,-29914.13857083011,19851.192497753418,-10062.946073076691,305.157166680892,67.73260207109101,0.9303721883292594,601
40000,-29486.020302972407,19470.176764087908,-10015.8435388845,299.30010384905626,68.22883137792495,0.9236055775462761,602
41000,-30002.77111046412,19799.458565206136,-10203.312545257984,304.36190058898467,67.95182678622945,0.9273706416806189,602
42000,-30101.811139405472,19732.5682259706,-10369.242913434871,303.3336466741758,67.6100378855574,0.9320587767867117,597
43000,-30264.862528978847,19693.138372940244,-10571.724156038603,302.72752176582327,67.64781271575927,0.9315383111483144,597
44000,-29786.980080076144,19861.190906120984,-9925.78917395516,305.3108645491239,67.40928784958007,0.9348345194023354,597
45000,-29940.472629492986,20533.062506915543,-9407.410122577443,315.6390316904695,66.73212627274856,0.9443207152212377,598
46000,-29908.969427813194,19960.32802713598,-9948.641400677214,306.83482352364194,67.37438184599006,0.9353188479586242,598
47000,-29905.13485173555,19784.87197078307,-10120.26288095248,304.13767205328486,67.65608432357462,0.9314244216193561,598
48000,-30044.580208117724,19831.890101672514,-10212.69010644521,304.8604457408846,66.58056866914731,0.9464702760839744,599
49000,-30017.405653697206,19564.388032392166,-10453.01762130504,300.7483414654309,67.27053043842906,0.9367627815540005,599
50000,-29824.93315469206,20007.725484022805,-9817.207670669253,307.56342829905276,66.57515558072507,0.9465472316276569,600
51000,-30225.72684494662,19829.54729564385,-10396.179549302771,304.8244315795252,67.1782528913658,0.9380495398119407,600
52000,-30066.453787303995,19616.905158493228,-10449.548628810768,301.55564699153655,67.15833892383301,0.9383276927320293,597
53000,-30340.67354283377,19707.05599845694,-10633.61754437683,302.94146675527827,67.27417882585442,0.9367119793946519,598
54000,-30061.963589181774,19677.831364230642,-10384.132224951132,302.4922188534814,67.04332518284536,0.9399374067180092,598
55000,-29783.452456136118,19371.994386796916,-10411.458069339202,297.79082141801314,67.7889207618602,0.929599239844671,599
56000,-30166.619621731224,19245.765233875834,-10920.85438785539,295.8503974025649,67.08496494707819,0.9393539857973866,599
57000,-30064.922350879293,19535.663459835774,-10529.258891043519,300.30678062839706,66.96302041462386,0.9410646177536203,599
58000,-30247.253586678416,19622.080871231337,-10625.17271544708,301.63520925636743,67.7105414061715,0.9306753114275381,600
59000,-29823.15153736912,19775.88363477214,-10047.267902596981,303.999501253189,67.68788992463199,0.9309867581968133,600
60000,-30093.524697944173,19222.719123079172,-10870.805574865,295.49612720572316,67.66565997809388,0.9312926117992032,601
61000,-29934.079420216498,19596.426593505126,-10337.652826711372,301.2408457084314,67.52392763282691,0.933247389766472,601
62000,-29804.157993118046,19725.805169874926,-10078.35282324312,303.2296833965795,67.10368521738106,0.9390919292431565,599
63000,-30198.154047431308,20047.7141188226,-10150.439928608706,308.17814293125053,67.78520656722199,0.9296501759218353,599
64000,-29808.506328764488,19495.031612206174,-10313.474716558314,299.68217837837796,67.38373010891686,0.9351890895362726,600
65000,-29438.95047642826,20242.11013610959,-9196.840340318671,311.1664439039029,67.48796891113295,0.9337446396274719,600
66000,-29793.93612883659,20019.54889094901,-9774.387237887582,307.7451804712975,67.66134584505,0.9313519916442227,600
67000,-29942.303083870327,19682.478695992024,-10259.824387878303,302.5636587225517,67.63375942647518,0.9317318709544942,600
68000,-29532.01964819606,19704.545364300277,-9827.474283895783,302.90287270074447,67.80113345234291,0.9294317956263943,601
69000,-29636.032352888724,19769.27256316536,-9866.759789723365,303.8978743166471,67.08725016658109,0.9393219882115095,599
70000,-30121.68525343365,19622.145958805926,-10499.539294627724,301.6362097977631,67.65094091817097,0.931495236501429,599
71000,-29817.7113463165,19556.292798844006,-10261.418547472495,300.62389964494804,67.50768346589093,0.9334719542251176,599
72000,-29621.469535057084,19610.365549000126,-10011.103986056958,301.4551185872938,67.63714753041944,0.93168519831169,598
73000,-29850.82377122692,19525.1040505081,-10325.719720718818,300.1444589224027,68.02772444012787,0.9263359862283439,598
74000,-29990.090520411497,19814.177120325356,-10175.913400086141,304.58815765532086,67.8292121661081,0.9290470462165125,598
75000,-30006.11056415888,19709.02756796034,-10297.08299619854,302.971774182081,66.99342614462203,0.9406375048512814,599
76000,-29831.155430895393,19439.74881694327,-10391.406613952124,298.8323583400837,67.9346563121257,0.927605034469984,599
77000,-29996.405827002134,19358.598544939512,-10637.807282062622,297.5848974088145,67.53073668288071,0.9331532914565521,599
78000,-29828.94536040374,19503.856948803103,-10325.088411600638,299.8178435134185,66.81956607910543,0.9430849810594809,599
79000,-29611.31404066633,19578.004574697297,-10033.309465969032,300.95765813344946,68.04432474878769,0.9261099943715527,600
80000,-30175.49952410662,19496.066750117127,-10679.432773989494,299.69809076006817,67.67494199041766,0.9311648795951477,600
81000,-29922.464317930164,19643.34103520735,-10279.123282722812,301.962025461632,67.42122551990354,0.9346689966576275,600
82000,-30087.761277124402,19727.270264801948,-10360.491012322454,303.2522051779233,67.4635100143669,0.9340831687633209,598
83000,-30282.095943077118,19833.05675810672,-10449.0391849704,304.8783798560262,67.49001195232516,0.9337163735373266,599
84000,-29840.192898806883,19702.981809619378,-10137.211089187505,302.878837373072,67.58381058074299,0.9324204816008332,599
85000,-30352.436152762384,19952.87680942725,-10399.559343335135,306.72028166503185,67.64431072156108,0.9315865375508934,599
86000,-30572.17309908918,19863.483725092843,-10708.689373996338,305.3461102977731,67.74921823155331,0.9301440054221429,599
87000,-30299.68731666752,19944.867114225406,-10354.820202442115,306.59715475998325,67.56480423816822,0.9326827764938158,599
88000,-29719.61576207762,19733.687300529888,-9985.928461547734,303.35084934962487,67.61850576790101,0.9319420548336083,600
89000,-30264.87393700832,19744.682813380026,-10520.191123628294,303.5198749408044,66.89931788728938,0.941960713505104,600
90000,-30246.31242631562,19594.470495877606,-10651.841930438015,301.2107761189177,67.65511541080758,0.9314377608769738,600
91000,-29903.176763167605,19705.141443285116,-10198.035319882489,302.91203576609445,67.09246957208578,0.9392489144017777,600
92000,-30230.277063439135,19530.56775118496,-10699.709312254174,300.2284482050784,66.71723195241883,0.9445315305505748,599
93000,-30022.45491399872,20159.04695005961,-9863.407963939113,309.8895772112159,66.77301682680216,0.9437424307721489,599
94000,-29496.862987822387,19912.052098876284,-9584.810888946104,306.0927146811486,67.25102008505078,0.9370345480324366,599
95000,-29912.054892166052,20019.565639424218,-9892.489252741834,307.7454379327695,67.32331913242923,0.9360282591854743,599
96000,-30246.754335124162,19793.80404659931,-10452.950288524851,304.2749780085301,67.65474093715133,0.9314429164492082,599
97000,-30031.532118610456,20000.37416250211,-10031.157956108345,307.45042206797274,67.31194406301121,0.9361864389346061,600
98000,-29758.684898235253,19701.157518645072,-10057.527379590181,302.8507939462106,67.64062411524117,0.9316373116657366,600
99000,-29915.705799941556,20013.218391021433,-9902.487408920122,307.64786654812684,67.56439795766047,0.9326883849332225,600
100000,-29624.15865534381,19897.63136446761,-9726.527290876202,305.8710357843213,67.60008657638288,0.9321959837863826,600
101000,-30073.568209949415,19586.98164603651,-10486.586563912904,301.09565577038114,67.47251073162202,0.9339585636700223,600
102000,-29885.2934348688,19545.58894596835,-10339.70448890045,300.459357519004,67.6692526916524,0.931243167369713,599
