#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-51940.186703679385,7360.3666390205335,-44579.82006465885,295.08287655097126,29.77502577204988,1.0047060761195268,0
10000,-51719.125201712595,7545.054849836597,-44174.070351876,302.4871719054631,30.129652253750507,0.9928806697750787,747
15000,-51698.295093147084,7354.394789177254,-44343.90030396983,294.84346040276705,29.928258204294934,0.9995619893943901,748
20000,-51643.80559978378,7338.207732926346,-44305.59786685743,294.1945086105984,30.01892616366656,0.9965429524924796,747
25000,-51050.4107432235,7600.5807850228975,-43449.82995820061,304.71325023573183,29.981359610473717,0.9977916178072,746
30000,-51282.28846699174,7669.408047881802,-43612.88041910994,307.47258923412693,29.99125851329838,0.9974622871037367,745
35000,-51560.18912537501,7565.935513392386,-43994.25361198262,303.32429409903295,30.07597490138222,0.9946526889946032,745
40000,-51153.84669623047,7481.223837074601,-43672.62285915587,299.9281364955806,29.758893325845545,1.005250732352092,746
45000,-51668.171072270605,7454.164209516201,-44214.0068627544,298.8432947845713,29.972658222433086,0.9980812875450592,746
50000,-51861.67803374806,7450.61059368439,-44411.06744006367,298.70082753623495,29.956643841750054,0.9986148471045275,745
55000,-51276.86030635191,7438.234229344086,-43838.62607700782,298.2046493742099,29.94785343483635,0.9989079643015654,745
60000,-51695.10368446843,7281.09820709255,-44414.005477375875,291.9049428881304,29.711101707238,1.0068677225289937,743
65000,-51830.311351472745,7709.035493615132,-44121.27585785761,309.0612846416853,29.811707208631137,1.0034698482860764,743
70000,-51496.669482934056,7437.6145603823015,-44059.05492255175,298.179806359083,30.200898543766556,0.9905383863477294,743
75000,-51432.26809548016,7301.68190252754,-44130.58619295262,292.73015939661326,30.008787550384724,0.9968796393245316,743
80000,-51512.709906601,7402.575083150643,-44110.13482345035,296.7750462103771,29.98864551890362,0.9975491987771415,743
85000,-51336.71722233645,7557.644671933615,-43779.07255040283,302.99190775652227,30.176754679279664,0.9913308978296042,743
90000,-51205.15770644613,7410.329569671952,-43794.82813677418,297.0859296623988,30.082481090204457,0.994437567170451,744
95000,-51621.81289947231,7447.117464370547,-44174.69543510176,298.56078523988674,30.102341016996768,0.9937814900476659,744
100000,-51505.06245469919,7416.5017641551385,-44088.56069054405,297.3333777844903,29.794745496529213,1.004041108969326,744
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-51506.51149553154,7213.92375721922,-44292.587738312315,289.21186645980873,30.090194693871627,0.9941826436864742,0
110000,-51320.94065177906,7352.94031441907,-43968.00033735999,294.78514936792806,30.233723270697368,0.9894629596873993,745
115000,-51587.897618236835,7270.690136594466,-44317.20748164237,291.4876751713786,29.858154002941312,1.0019088690763363,738
120000,-51418.22275456088,7447.048746905485,-43971.17400765539,298.5580303027682,29.986525761187007,0.9976197158696734,741
125000,-51295.30713599257,7664.791312155227,-43630.51582383734,307.28750067464523,30.13130555656746,0.9928261904759607,743
130000,-51215.21589388617,7592.765071790843,-43622.45082209533,304.3999121568125,30.146543100781713,0.9923243673341208,744
135000,-51424.151920961915,7244.00140554594,-44180.150515415975,290.4177029926093,29.805251599085725,1.0036871928540159,745
