#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,55276.881975704455,40983.92019824027,96260.80217394471,294.68718844535806,124.63689867495377,1.1012663278776154,0
10000,55388.58286374796,41677.86696543092,97066.44982917888,299.6768824708442,124.61631586640854,1.1014482234329959,574
15000,54787.13843913539,41627.12698656458,96414.26542569997,299.31204617305787,124.00103293831732,1.1069135189389767,575
20000,54709.26538667991,41560.17052011739,96269.4359067973,298.8306082639921,123.8721587295502,1.108065130450312,558
25000,54595.91015190678,41666.13334126627,96262.04349317306,299.5925140478473,124.05650517129837,1.1064185592871012,562
30000,54559.00172692584,40759.72926383642,95318.73099076227,293.0751855960737,125.07727900265202,1.0973889168064686,565
35000,55478.857946202974,41658.19089985209,97137.04884605506,299.53540541308485,125.16592656959028,1.0966117016319712,567
40000,54726.39587720507,41828.146374884935,96554.54225209,300.75743836786484,124.45503773034979,1.1028755623312845,569
45000,55252.64843462827,41058.967471811826,96311.6159064401,295.22680178498786,124.80516905017717,1.0997815296146656,570
50000,54911.47083894897,40968.87611614781,95880.34695509679,294.5790167957666,124.82882976556026,1.0995730712176377,571
55000,54799.43035255477,41906.99630061845,96706.42665317323,301.32439396438025,125.02680953507266,1.0978318988721927,571
60000,54216.737347488874,41481.736465707276,95698.47381319615,298.26664291219834,125.00303431682812,1.098040703347493,567
65000,54293.358903541695,40918.71099084984,95212.06989439153,294.21831387470485,124.54962640272194,1.1020379882795144,567
70000,55138.425628395635,41535.4096028567,96673.83523125233,298.6525695342759,124.72834376096756,1.1004589300477376,568
75000,55418.91997812642,40900.28311320135,96319.20309132777,294.08581167806335,124.38857414188402,1.1034648533333675,569
80000,55028.33943329367,41288.098700059134,96316.43813335281,296.8743268902151,124.80446334321427,1.0997877483304257,569
85000,55196.31220203824,41689.75758698683,96886.06978902507,299.7623797541258,124.61835469831585,1.1014302030716485,570
90000,54706.362028834876,41646.1129511017,96352.47497993658,299.4485611887592,124.9859556242197,1.098190745002576,570
95000,55050.474832660984,41871.91132028356,96922.38615294454,301.0721219962148,124.45337156081936,1.1028903275211286,570
100000,55031.51912337751,41712.00165691554,96743.52078029305,299.9223215653329,124.85995311709866,1.0992989849443107,571
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,54611.88281332899,41493.85389982558,96105.73671315458,298.3537710486534,124.36665506347721,1.1036593341821692,0
110000,55100.20758543548,41670.204417954454,96770.41200338994,299.62178636092483,124.57454648476686,1.1018175349215895,574
115000,54375.08670517546,41117.99044753472,95493.07715271018,295.6511954175473,124.33314314888412,1.1039568070555341,575
120000,55139.11977833847,41692.97952433689,96832.09930267537,299.785546490115,124.26627301654227,1.1045508679861107,575
125000,54705.806647442514,41730.71591353922,96436.52256098174,300.05688291626274,124.60832883342262,1.1015188230740889,575
130000,54979.327516250196,41354.70729501222,96334.03481126242,297.35326349457296,124.64192072501805,1.1012219558509284,576
135000,54898.42499484809,41419.67367105433,96318.09866590242,297.82039203197814,124.70912994047536,1.1006284767389145,551
140000,54961.21014763031,41034.14384572827,95995.35399335859,295.04831215924685,124.4206362875326,1.1031804997735295,554
145000,55070.09406460554,41912.733265867646,96982.82733047318,301.36564453658804,124.51678733082505,1.1023286310555285,556
150000,54978.797336046235,41473.741901388945,96452.53923743518,298.2091594974733,124.87923790268573,1.099129222976054,546
155000,54102.05573292507,41585.6397822961,95687.69551522117,299.0137402149357,124.38223571398052,1.1035210850965027,549
160000,55054.589449957246,42085.696580226366,97140.2860301836,302.60930479568526,124.37720597196281,1.1035657108486714,547
165000,54900.60201206466,41575.83192771859,96476.43393978325,298.9432186768264,124.75003126630317,1.1002676177997583,549
170000,54619.73472954554,41250.94189831166,95870.6766278572,296.60715787891456,124.57622403990679,1.101802697743121,551
175000,54529.717170472024,41269.385651608885,95799.10282208091,296.73977422642963,124.98275602854058,1.098218859011854,553
180000,54587.47899706429,42340.87825645057,96928.35725351486,304.4441407592911,124.52376447150382,1.1022668669258804,555
185000,54364.92827442638,41363.95248141609,95728.88075584246,297.41973927275217,124.91478968467902,1.0988164017111235,556
190000,54756.973671620595,41349.30048602074,96106.27415764134,297.31438684898967,124.52261182877818,1.10227707005178,557
195000,55026.53867779754,41489.89819196324,96516.43686976077,298.3253282734717,124.17683179883487,1.1053464461404356,558
200000,54606.51940355357,41542.677588862,96149.19699241557,298.7048286239678,124.58002528158242,1.101769079044429,558
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
205000,55752.209010004415,41658.880289114946,97411.08929911937,299.54036233723053,124.83680413526884,1.0995028322984968,0
210000,54997.70694357413,41006.61778321115,96004.32472678527,294.85039117138365,124.99342689460286,1.0981251025108705,578
215000,55214.88390855584,41637.39910660466,96852.2830151605,299.38590592486634,124.82199163984023,1.0996333091516795,575
220000,55092.33690066694,41586.762290570296,96679.09919123724,299.02181140006707,125.389473698958,1.0946566380153917,575
225000,54771.92711020424,41005.9435763294,95777.87068653364,294.84554341330073,124.76137174317293,1.100167606399628,576
230000,55147.150003955,41321.119088286774,96468.26909224177,297.1117537962092,124.38764591267729,1.1034730878191796,575
235000,55548.248931860086,41061.56069326003,96609.8096251201,295.2454478572496,124.50058820313137,1.1024720581871799,574
240000,55621.07540958957,41683.10852805954,97304.18393764911,299.7145709434602,125.02274716915545,1.0978675707398307,574
245000,54854.04861571465,41617.56447866295,96471.6130943776,299.24328875418746,125.05459395211253,1.0975879844476684,574
250000,54525.8890285145,41564.947270925084,96090.83629943959,298.86495459442153,124.6176255964354,1.1014366472229347,574
255000,55194.961708305054,40931.9872231062,96126.94893141126,294.3137741317484,124.98018287493416,1.0982414696830236,574
260000,54994.42347286665,41603.09850012344,96597.52197299009,299.13927384972493,124.75405618536185,1.1002321200513088,570
265000,54748.33977477555,41466.79478623481,96215.13456101036,298.15920756943234,124.73477519001167,1.100402189467464,571
270000,55083.06856019632,41807.39767014187,96890.46623033819,300.6082486994525,124.74406459069779,1.100320245072856,571
275000,55052.205998757854,41373.79360379452,96425.99960255237,297.4905000167419,125.1662213451699,1.096609119031438,572
280000,54947.3633099203,41883.67589651447,96831.03920643477,301.1567129742366,124.8665948865761,1.099240512216265,572
285000,55037.453288544435,41395.313803548655,96432.7670920931,297.6452369752772,124.67815426214854,1.1009019225069767,571
290000,54523.75380038447,41970.506713685354,96494.26051406981,301.781053673192,124.69932830747037,1.100714988483206,562
295000,55126.41333581763,41107.836543920326,96234.24987973797,295.57818567876694,125.03089644672244,1.0977960138061449,563
300000,54563.7293705421,41429.17607565753,95992.90544619964,297.88871728935817,125.00242062404513,1.0980460941203416,563
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
305000,55404.47305180435,41298.61229743449,96703.08534923884,296.949922939495,124.85058163094602,1.099381500100271,0
310000,54524.764144896995,41447.22308451513,95971.98722941213,298.01848092042053,125.05059707783823,1.0976230656170616,576
315000,55496.52959044743,41307.6354916365,96804.16508208393,297.0148025243987,124.60337560731689,1.1015626105859746,574
320000,55351.10053076176,41583.05663555043,96934.15716631219,298.9951665829322,124.67224363238175,1.1009541155491802,574
325000,55238.5174574838,41661.905949445245,96900.42340692904,299.56211778013625,124.66692057888926,1.10100112431159,573
330000,54764.86027061124,41458.78230516518,96223.64257577642,298.10159532766875,124.86298843997797,1.099272261834429,556
335000,54953.98903477471,41498.037074000225,96452.02610877494,298.38384937767466,125.12974022640262,1.0969288314150831,559
340000,55684.46583959262,41446.43749291706,97130.90333250968,298.01283227143375,124.86656603838678,1.099240766176147,561
345000,54655.02088779793,41231.306571382425,95886.32745918035,296.46597374477136,125.0760454435343,1.0973997397750013,562
350000,54549.29506642034,41238.814789998905,95788.10985641924,296.51996018197946,124.7619543399563,1.1001624689832414,563
355000,55850.01386079297,41497.14062285155,97347.15448364452,298.3774036138896,125.28359821512517,1.0955817176174456,565
360000,55474.18473611807,42059.282792299186,97533.46752841726,302.41938140956694,124.82784498550281,1.099581745865769,561
365000,54608.0676085063,41726.49504669968,96334.56265520598,300.0265335652068,124.3568694049226,1.1037461812816225,562
370000,55037.17162794701,41781.21965401765,96818.39128196466,300.42002058624587,125.0091116882414,1.0979873216292246,563
375000,54740.29070378223,41301.38624013572,96041.67694391795,296.96986845401824,124.58713219226753,1.1017062300623344,563
380000,54498.72530762409,41858.37190019383,96357.09720781792,300.97476933643685,124.45748016543263,1.1028539187791102,564
385000,55476.32592110452,42143.91789780844,97620.24381891296,303.0279342557968,125.41338769431054,1.0944479073987057,565
390000,55674.33689427236,41190.752635859615,96865.08953013198,296.17437828045746,125.24957082142822,1.0958793616747309,566
395000,54489.54232346837,41346.57107728542,95836.11340075379,297.29476154759254,124.7202464401279,1.1005303760982532,566
400000,55952.01358526503,41738.396916600876,97690.4105018659,300.11211172760466,125.41769969795409,1.0944102790306547,567
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
405000,55051.473567802226,41295.36622424401,96346.83979204623,296.9265826592738,124.24016508936064,1.1047829791846833,0
410000,54810.35442942707,41717.472838270936,96527.82726769801,299.96166106832084,124.57464248523286,1.1018166858322829,573
415000,54754.608403503546,41359.73615884158,96114.34456234513,297.3894225963812,124.9645993567659,1.098378424196414,574
420000,55113.13591285725,41133.7145615131,96246.85047437035,295.76425670882134,125.15118143882177,1.0967409028329262,576
425000,55214.20076735935,41193.86704830331,96408.06781566265,296.19677187878216,124.858469712676,1.0993120453716876,575
430000,55520.70451027574,41721.32064690742,97242.02515718316,299.98932801436393,124.83570040766205,1.0995125534890358,575
435000,55454.36895120435,41776.90965023692,97231.27860144127,300.3890303127389,125.02400405880594,1.097856533672208,575
440000,54783.3864134046,41408.003985905256,96191.39039930986,297.736483350476,125.04587371756337,1.0976645261549487,575
445000,54397.181923397584,41434.035297069124,95831.2172204667,297.9236566091912,124.75443895327896,1.1002287443513301,574
450000,54753.150691997376,41920.32554646324,96673.47623846061,301.42023540568454,124.76998512453326,1.1000916573390849,574
455000,55124.830367225106,41742.23980495812,96867.07017218322,300.13974329530305,125.02094067000208,1.0978834344569524,574
460000,55173.341326213325,41960.78143162863,97134.12275784195,301.7111258573005,124.7026827517703,1.1006853797607832,569
465000,54467.09902419383,41516.01892811174,95983.11795230556,298.51314452576014,124.45990270801055,1.1028324523427937,570
470000,54986.69042101188,41680.54437994987,96667.23480096174,299.6961339175842,124.96984858086113,1.0983322879919182,570
475000,55613.40958091768,41855.21998472126,97468.62956563894,300.9521060796197,125.01774869756422,1.0979114657860978,571
480000,55284.24175131065,41030.76464834475,96315.0063996554,295.0240146744935,124.83771042357336,1.0994948502027475,571
485000,55237.31990282517,41493.957901138696,96731.27780396387,298.3545188505817,125.17776043041926,1.0965080318569576,563
490000,55044.05581652839,41811.57898618273,96855.63480271111,300.63831366791135,124.97335465486348,1.0983014747494353,564
495000,55094.89171230944,41272.07635934222,96366.96807165167,296.75912125553344,125.01000819582795,1.097979447427967,564
500000,55676.56911602151,41684.2203591411,97360.7894751626,299.7225653562413,124.80601915858134,1.0997740385214685,565
