#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,181763.17075673665,76263.93315226618,258027.10390900285,305.7480948348028,220.27688664930787,1.1246481294719584,0
2000,181422.67954001273,75003.91103072902,256426.59057074174,300.6965672360293,220.98959383644043,1.121021059115591,452
3000,181608.46783388325,75272.21683867132,256880.68467255455,301.77222628245795,220.39322900327784,1.1240544442151,453
4000,181515.28955435706,75823.63429802434,257338.9238523814,303.9829021640601,221.08264034497716,1.1205492577322527,449
5000,181438.3244088645,75948.42926510735,257386.75367397183,304.4832149836786,221.27991218154918,1.1195502840438463,450
6000,181088.4191541709,76254.24692431299,257342.6660784839,305.7092619865558,220.461528935776,1.1237062073003208,451
7000,181066.79227768676,75643.42092272197,256710.21320040873,303.26041259546633,220.55328382835356,1.1232387214368147,450
8000,181325.93215796084,74623.58022919114,255949.51238715198,299.1717911961543,220.46381458963202,1.123694557300385,448
9000,181647.30844447797,75495.5153041169,257142.82374859485,302.6674473596769,220.9247848145566,1.1213499143792203,414
10000,182048.61781053548,76165.88353421279,258214.50134474825,305.35500621899206,220.8167746934255,1.1218984104807985,417
11000,181004.79186332878,75825.41691359905,256830.20877692784,303.99004880983705,220.2660823877305,1.1247032945361461,420
12000,181276.80816512625,75738.28706841083,257015.09523353708,303.6407384206605,220.39877095774236,1.1240261797265165,403
13000,181606.0383064075,75724.01384272872,257330.05214913623,303.58351593843236,220.59947212919758,1.1230035418714028,406
14000,181819.0052093931,75544.21763271654,257363.22284210962,302.86269881823495,220.2249387457277,1.1249134178308706,410
15000,181236.71465391654,75435.63049625808,256672.34515017463,302.42736446392814,220.10402029620855,1.1255314110240178,413
16000,182424.10086017463,75289.45848993897,257713.55935011362,301.8413494158842,220.88984938463963,1.1215272644994514,416
17000,182033.02139180084,75861.5603674354,257894.58175923623,304.1349507535796,220.5391865168256,1.1233105211311294,418
18000,181042.14798084495,75927.3219166231,256969.46989746805,304.3985939666483,220.01391046347112,1.1259923884548289,419
19000,181693.4970384863,76004.86772123717,257698.36475972348,304.7094811848022,220.4034414675629,1.1240023607912224,421
20000,181716.94823465846,75507.33103924138,257224.27927389985,302.714817569343,220.52364002048938,1.1233897123820065,423
21000,180895.47078575566,75914.66615357777,256810.13693933343,304.34785601910414,220.62257850031,1.1228859268168812,424
22000,181979.8484441227,76412.12903270723,258391.97747682995,306.34222375307866,220.47814247715027,1.1236215334212785,415
23000,181019.95191097714,75847.00991288466,256866.9618238618,304.0766168390542,220.44834253275846,1.1237734232419443,416
24000,181026.6897610788,76450.40744865935,257477.09720973816,306.4956849275409,220.09785771464337,1.1255629250932444,418
25000,181070.72604809166,75903.61920741924,256974.34525551088,304.3035679447535,219.71801973659836,1.1275087443125436,419
26000,181446.14244389837,75756.42330017786,257202.56574407622,303.71344799753456,220.6067671708599,1.1229664063033058,421
27000,181979.7691416156,75960.62067385633,257940.38981547195,304.5320912983962,220.95490820999578,1.1211970376354077,422
28000,181680.10215567134,76135.19115915278,257815.2933148241,305.23195807798135,221.06033287429528,1.120662333739103,419
29000,182156.26456157316,74548.32767240703,256704.5922339802,298.87009778857396,220.93271432860496,1.121309667918092,419
30000,181826.88990473456,75261.83510568348,257088.72501041804,301.73060509992894,220.6901901570187,1.1225419143451307,421
31000,181517.77969604183,75288.17740945163,256805.95710549346,301.8362134636438,220.48691834454095,1.1235768107971489,422
32000,181950.11688716954,75540.39072005366,257490.5076072232,302.84735642495144,220.22246124316882,1.1249260731061568,415
33000,182359.77692885103,76116.78887645397,258476.565805305,305.15818188203644,220.76949727906288,1.1221386631274677,416
34000,181209.06790906738,75490.94164791533,256700.00955698272,302.64911121292624,220.0457992426087,1.1258292109585548,417
35000,181298.0751843364,75997.7449712238,257295.8201555602,304.68092552085255,220.73857474571096,1.1222958598035628,418
36000,181356.7269923807,75605.81539459716,256962.54238697785,303.1096490811264,221.00019495826356,1.120967285041698,419
37000,181456.19204766362,75485.29387238927,256941.4859200529,302.6264688374839,220.29071839321654,1.1245775144000767,420
38000,181540.68941524427,75518.00738265751,257058.69679790176,302.75761986820635,220.61690377555206,1.12291480977399,421
39000,181110.57244222448,75967.86879306415,257078.44123528863,304.56114957728795,220.62546091844825,1.1228712565845824,422
40000,181003.52550314635,75765.32262317598,256768.84812632232,303.7491260820435,220.06664978059428,1.1257225426162514,422
41000,182175.18920466083,75820.81869336733,257996.00789802815,303.9716141839612,220.37877819286717,1.1241281513923418,417
42000,181781.08212505386,75832.3685607705,257613.45068582435,304.0179185090616,220.33911107533828,1.1243305254660194,413
43000,181821.33450423623,76438.86158653285,258260.19609076908,306.4493966599091,220.83509324305322,1.121805347592071,414
44000,181045.8614762926,75246.41635395978,256292.27783025237,301.66879011387465,220.18684546530906,1.1251080327370497,414
