#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,38569.468832110055,41519.50401467852,80088.97284678857,296.4909323468193,130.67317217339811,1.1145409317455997,0
2000,38101.15917678812,41489.719345092766,79590.87852188089,296.27823991070545,130.15469678725873,1.1189807410972321,564
3000,38339.313833435066,42133.898304593786,80473.21213802884,300.8783242525882,130.70231269998263,1.1142924410419532,560
4000,38094.426324860775,41877.556188611205,79971.98251347197,299.047784250459,129.66105390345243,1.12324090144091,559
5000,37686.412245681626,41115.34017635926,78801.75242204088,293.6047968765646,130.0945054050389,1.1194984647111106,561
6000,37348.41598132887,42017.69634492244,79366.11232625131,300.04852562707225,130.32996359733906,1.1174759437381279,561
7000,38546.029834987945,41453.60461318393,79999.63444817188,296.0203444760365,130.16833227990716,1.1188635247712508,556
8000,38675.05815809884,42096.9481990944,80772.00635719323,300.61446341200696,130.90733708755383,1.1125472590652772,556
9000,37820.814877147495,41310.603967200266,79131.41884434776,294.9991763320503,130.05572464879867,1.1198322831353937,558
10000,38337.94750559266,42132.189884912776,80470.13739050544,300.86612442130206,130.14805338746638,1.1190378594038803,558
11000,37647.88651139231,41398.13807247879,79046.0245838711,295.6242577028923,130.19652496411996,1.1186212466763494,559
12000,38625.81662753108,41181.352247592484,79807.16887512356,294.07618932236943,130.74698969654173,1.1139116809214349,541
13000,38143.58963932778,42155.104548410025,80298.6941877378,301.02975811842697,130.40733351365017,1.1168129517275012,542
14000,38155.58789103158,41677.69331157595,79833.28120260753,297.620562703382,130.31731423911003,1.1175844124677605,544
15000,38314.649307902204,41682.74766672621,79997.39697462841,297.65665587227875,130.75916163258069,1.1138079905829228,545
16000,38212.835423480894,42086.288873406564,80299.12429688746,300.538345127688,130.18489966758952,1.118721137706193,546
17000,38510.79689941736,42063.79878602948,80574.59568544684,300.37774333021383,130.76183497368152,1.1137852194992939,548
18000,38153.20733197627,41859.570059754486,80012.77739173075,298.91934523750376,130.6642820799508,1.11461676251493,549
19000,38532.80591725255,41826.75354495921,80359.55946221176,298.6850023834902,130.60865932676833,1.1150914481398646,549
20000,38310.59132060781,41501.72019439122,79812.31151499903,296.3639380201095,131.0385770553395,1.111433001953205,550
21000,38229.40745763475,42246.18989613687,80475.59735377162,301.6801989247795,130.80171672583805,1.1134456237570396,551
22000,38138.2682596994,42062.11351164864,80200.38177134804,300.3657087796022,130.06855970876776,1.1197217789940275,541
23000,37738.71380627272,41880.21840213608,79618.9322084088,299.066795127126,130.1597311388759,1.118937460871818,542
