#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-74092.33250408841,15715.460074387327,-58376.87242970108,304.3206236880532,54.8850096846928,1.0464086666061603,0
2000,-73978.29865400319,15208.667665183864,-58769.63098881932,294.5068873214976,55.22270630748824,1.0400096924086777,659
3000,-74174.00464787649,15142.576251378943,-59031.42839649754,293.22706603886655,55.086827451705865,1.0425750121692132,668
4000,-74433.1664964999,15716.676589317663,-58716.489907182244,304.34418078282323,54.97880854944969,1.0446233979255712,668
5000,-74493.93235951744,15379.890349055238,-59114.042010462195,297.82251369823985,55.092388834922836,1.0424697678823394,668
6000,-74202.98780236102,15396.343133023442,-58806.64466933758,298.14111216464863,55.23704104820272,1.0397397961760353,665
7000,-74451.45634065755,15545.8361545876,-58905.62018606995,301.03595643545435,54.90378308150374,1.0460508653031892,667
8000,-74420.1219030621,15326.988849453757,-59093.13305360834,296.79810733173497,55.24383702570067,1.0396118896322655,667
9000,-74429.89946406032,15615.345229100796,-58814.55423495952,302.38195870377547,54.42767235420382,1.0552012848734236,668
10000,-74116.33541991247,15452.254202529595,-58664.081217382874,299.22379707890764,55.338554000495485,1.0378324992068162,667
11000,-74201.58773546806,15595.812807374832,-58605.774928093226,302.00372486692646,55.19489172055985,1.040533788735242,667
12000,-74311.4186749421,15120.268020709636,-59191.15065423247,292.79508029753123,55.302765136836996,1.038504126488428,653
13000,-74262.95682112034,15578.29294909351,-58684.66387202684,301.6644631352392,55.55857988265538,1.0337224227495978,655
14000,-74241.46705877036,15160.87330829189,-59080.59375047847,293.58137776407517,55.09470744138889,1.0424258965695266,656
15000,-73885.71846543706,15299.575122578652,-58586.14334285841,296.26725666489114,55.59828251525112,1.032984243444416,657
16000,-74049.41893253673,15652.1357920408,-58397.28314049593,303.09438627552595,55.66840068936446,1.0316831288418546,657
17000,-74711.69169368711,15265.096140490883,-59446.59555319623,295.59959149419853,54.7785646779223,1.0484420345532124,658
18000,-74823.39603148738,15064.606691159448,-59758.78934032794,291.71723145035514,54.82800294811026,1.0474966570491346,658
19000,-74667.32792840211,15729.035822059344,-58938.292106342764,304.58351004193815,54.61703496180222,1.0515427987072565,659
20000,-74495.64647436293,15370.253745911148,-59125.392728451785,297.6359065569177,54.82933890693747,1.0474711339909804,659
21000,-74514.93408394419,15624.624883815628,-58890.309200128555,302.5616537491041,55.10719479859585,1.0421896815965124,660
22000,-74777.8263611598,15180.334228298909,-59597.49213286088,293.9582270122707,55.26384036065013,1.0392355910487787,654
23000,-74255.73840733909,15417.082479340263,-58838.65592799882,298.54271738499494,55.13635399474749,1.0416385132447608,655
24000,-74219.98468147521,15618.849671248283,-58601.13501022693,302.44982016089824,55.19327583046815,1.0405642523780319,656
25000,-74688.15616922313,15447.031903995483,-59241.12426522765,299.1226703451395,55.11260915806659,1.0420872950526874,656
