#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-18339.835294928344,28666.265023009662,10326.429728081319,299.805148225765,96.30633870473746,0.8893848190337674,0
10000,-18229.15595680126,28846.477265762464,10617.321308961204,301.6898917773659,95.42029658782414,0.8976433597843921,640
15000,-18580.392576183425,28840.324687461605,10259.93211127818,301.6255452485113,96.3465418413584,0.8890136997522151,638
20000,-18749.587879407336,28283.55921493252,9533.971335525184,295.80263267568085,95.49405611275769,0.8969500208429687,639
25000,-18791.419065893802,28210.269922694766,9418.850856800964,295.0361391298679,94.74550644692182,0.9040364955851732,640
30000,-18616.36055234511,28012.819567544317,9396.459015199205,292.97111137178376,95.15993476124986,0.9000993520604704,640
35000,-18115.485198640148,28423.905068302633,10308.419869662484,297.2704349630987,96.50365607064963,0.8875663276219443,638
40000,-18680.381335504353,28821.11425801421,10140.732922509858,301.4246336319008,95.21847211963657,0.8995459989433461,639
45000,-19198.829058060946,28438.013336508237,9239.18427844729,297.41798580159104,96.11235707281139,0.8911798464772807,639
50000,-19350.25183625036,28678.8130265662,9328.561190315839,299.936381090011,95.87432282045853,0.8933924444099451,640
55000,-17811.596095576067,28157.948341659918,10346.35224608385,294.4889356715531,96.00055500995542,0.8922177128229649,641
60000,-18898.392162231437,28245.229130658314,9346.836968426876,295.4017588057117,94.93474619045324,0.9022344195125794,637
65000,-18842.180027815688,28578.58500226735,9736.404974451663,298.8881497401239,95.9259463782861,0.8929116558615077,637
70000,-18356.715570874978,28610.229616617708,10253.51404574273,299.21910385250095,96.144628912458,0.8908807136663568,617
75000,-18798.15807398013,28496.7932822597,9698.635208279571,298.0327338454877,95.07528946772791,0.9009007082728008,618
80000,-18558.259143601696,28653.832415734516,10095.57327213282,299.6751222295647,95.20548655376605,0.8996686926477289,620
85000,-18496.59330773045,28106.05462669844,9609.461318967988,293.94620703587196,95.63428707934341,0.8956348004105987,621
90000,-18476.424576184887,28642.820174430228,10166.39559824534,299.5599510820894,97.18307223550363,0.8813612664266659,621
95000,-18857.45515836816,28199.958959924574,9342.503801556413,294.92830227985667,95.72525399354294,0.8947836860949496,623
100000,-18290.998281640757,28546.933366804114,10255.935085163357,298.5571221976789,96.38672216529288,0.8886431003829683,624
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-18684.49843302567,28572.693418098206,9888.194985072536,298.82653280943214,96.50496182006681,0.8875543185066288,0
110000,-18155.027192156354,28086.328597935062,9931.301405778708,293.7399030415231,95.61188876032156,0.8958446144227135,640
115000,-18980.489539042872,28226.93579867661,9246.44625963374,295.2104386214494,95.77094556357586,0.8943567917877362,644
120000,-18907.11188153486,27982.689821881497,9075.577940346637,292.6560004615485,95.62692914885953,0.895703714247517,643
125000,-19557.870565151563,28433.659064598003,8875.78849944644,297.37244679836147,95.419116194942,0.8976544641822827,643
130000,-18332.254045145994,28535.23874707124,10202.984701925245,298.4348144188439,95.91182332302505,0.8930431374684884,643
135000,-18639.105893260392,28497.938212580746,9858.832319320354,298.0447080599288,95.6798295056806,0.895208489221151,641
140000,-19325.832209165674,28749.558925934234,9423.72671676856,300.67627464884663,95.31737054648349,0.8986126571645929,640
145000,-19283.868384727044,28341.038047332706,9057.169662605662,296.4037730702788,95.60022430234099,0.8959539189974497,640
150000,-19142.720827795798,28633.99910089532,9491.27827309952,299.4676961874765,95.80254659838374,0.8940617829272053,641
155000,-18062.1040004589,28077.716635441455,10015.612634982554,293.64983512755396,96.50389450367393,0.8875641347039811,641
160000,-18733.87118233065,28619.244156515608,9885.372974184957,299.31338210842677,95.67162502037979,0.8952852593699743,636
165000,-18625.651034832466,28815.136609577727,10189.48557474526,301.36211660102487,95.87568788942514,0.8933797243729087,637
170000,-18422.351239652955,27816.24036511953,9393.889125466576,290.91519453456203,96.39153879778247,0.8885986953731266,637
175000,-18548.366638914973,28429.206579647012,9880.83994073204,297.32588063741815,96.39681560973615,0.8885500530171722,637
180000,-18385.520282914396,29031.46232647207,10645.942043557672,303.6245516816499,95.95196087561482,0.8926695696375867,637
185000,-18278.145228543086,28234.69631634659,9956.551087803506,295.29160172897275,96.2057081539395,0.8903151098234523,638
190000,-19243.001620994357,28416.929109463286,9173.92748846893,297.19747713716043,95.28111630132938,0.8989545772095723,638
195000,-19008.69946155988,27685.0007714372,8676.301309877319,289.54262975134253,95.49192774570045,0.8969700124686634,638
200000,-18820.686050589138,28596.671286497414,9775.985235908276,299.07730452258664,94.86628409354013,0.9028855345094111,638
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
205000,-18395.094871251087,28457.461110116586,10062.3662388655,297.62137967395745,95.9108369362551,0.8930523218939812,0
210000,-18509.863959646726,28570.768756698093,10060.904797051367,298.8064038042798,95.26118321308171,0.8991426804885131,645
215000,-19033.21321343322,28225.21474341496,9192.001529981739,295.19243902410346,95.423293316328,0.8976151696711706,642
220000,-18976.825362648407,28400.91739802943,9424.092035381022,297.03001920303745,95.32980844374363,0.8984954131242562,641
225000,-18519.623336732853,28564.765445481626,10045.142108748772,298.74361838010077,95.2743138365025,0.8990187614229892,640
230000,-18662.622599702794,28247.20828245159,9584.585682748795,295.4224576967695,95.30876384863977,0.8986938048713352,641
235000,-18682.19262609945,28895.403426175075,10213.210800075623,302.20158434571573,95.80079389535071,0.8940781400442492,641
240000,-18638.917540534225,28440.69985728061,9801.782316746387,297.44608268682276,95.81212292618696,0.8939724223280645,638
245000,-18567.720850762562,28432.99210887081,9865.271258108249,297.36547146479467,95.77849334919888,0.8942863123606869,639
250000,-19227.939902927843,28939.70143181569,9711.761528887848,302.66487351633253,95.62096428697845,0.8957595884899668,639
255000,-18617.555294654157,28512.481215799235,9894.925921145077,298.1968055596229,96.19535136440578,0.8904109648318319,639
260000,-18062.105702224595,28763.723988267986,10701.618286043391,300.82441946677767,96.01889581950489,0.8920472880851266,635
265000,-18313.323627584614,28527.519070972947,10214.195443388333,298.35407845149535,96.09094124432447,0.8913784641044578,624
