#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-51763.85255636426,7466.100689395988,-44297.751866968276,299.3218376332587,29.6878845256235,1.007655135682516,0
2000,-51733.03740609682,7380.348679649627,-44352.68872644719,295.8839722459781,29.96162481227507,0.9984488323723347,742
3000,-51885.654822419165,7737.577111693394,-44148.077710725775,310.20554051601954,29.960673542861162,0.9984805337235819,716
4000,-51751.898629106814,7215.205293342657,-44536.693335764154,289.26324424902145,29.913745165922336,1.0000469397550822,718
5000,-51762.833661048324,7250.7444997891525,-44512.08916125917,290.6880389342447,29.956720844580317,0.9986122801957537,725
6000,-51439.046982513624,7509.438633139247,-43929.60834937438,301.059289818829,29.83125770009959,1.0028122049206845,725
7000,-51652.24950355245,7363.984330550574,-44288.26517300188,295.22791264435,30.22053287389863,0.9898948319217639,726
8000,-51548.43188910838,7254.724488187996,-44293.707400920386,290.8475997935019,30.11516873013091,0.9933581836406326,728
9000,-51591.96228502644,7423.001604883656,-44168.96068014279,297.5939615017641,30.258865565340937,0.9886408082680862,728
10000,-51439.683229506365,7735.898353834654,-43703.784875671714,310.13823779561386,29.609566788173193,1.0103203982620534,729
11000,-51221.576435602736,7305.417919795556,-43916.15851580718,292.8799392617148,29.87358449288225,1.001391356866521,730
12000,-51456.49616142968,7554.562474272697,-43901.93368715698,302.86834003272696,29.781346112253523,1.0044928525740964,720
13000,-51591.358178292285,7505.966540600994,-44085.39163769129,300.92009090332834,29.41386374152259,1.0170424930460185,720
14000,-51764.588823435246,7425.462719911245,-44339.126103524,297.69262953523054,29.757110067178324,1.0053109741590804,721
15000,-51917.07168144011,7185.541639177536,-44731.53004226257,288.0740050671508,29.67049968721516,1.0082455511419741,721
16000,-51570.115245722234,7399.845812203921,-44170.26943351831,296.6656275956065,30.120089107280485,0.9931959099869684,723
17000,-51575.35990517214,7277.9693782596705,-44297.390526912466,291.7795056840451,29.55488780044757,1.012189574590129,724
18000,-51548.76687789243,7313.813504307607,-44234.95337358482,293.2165248354563,30.15320559130869,0.9921051086660156,725
19000,-51471.87999404932,7277.776681984138,-44194.103312065185,291.7717803390897,29.910109971279784,1.0001684827812092,726
20000,-51427.06164923031,7473.08557743042,-43953.97607179989,299.60186727779563,30.290459952873604,0.9876096089771005,726
