#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,65291.48917876894,34753.63629610981,100045.12547487876,290.3213532649064,112.31518128358289,1.0777566980335884,0
10000,65293.424278753344,34947.480892461324,100240.90517121466,291.94067232137473,111.78112229605837,1.0829059185739325,581
15000,65185.88639094576,34826.43121946973,100012.31761041548,290.9294600103588,112.34054828704937,1.077513335700825,581
20000,65516.28848624264,35355.429175430014,100871.71766167265,295.34854873938343,112.15548245711237,1.0792913218979414,581
25000,65173.25416737213,35060.54316304955,100233.79733042169,292.885160291517,112.23372251108353,1.078538929396057,581
30000,65262.43027787667,35286.41342242533,100548.84370030201,294.7720120386423,112.14212666897247,1.0794198622303275,580
35000,65218.64024614496,34776.57372683165,99995.2139729766,290.51296561507445,111.72463445790761,1.0834534344781706,579
40000,65015.20882479823,34738.74430203083,99753.95312682906,290.1969500560742,111.76709076869273,1.08304186936165,579
45000,64762.33438042842,35145.16715986988,99907.50154029831,293.5920835344904,112.17540704950561,1.079099618206125,579
50000,65953.27296351327,35228.442155896075,101181.71511940935,294.28773763334397,111.38063807228575,1.0867996539998097,580
55000,64870.91550048068,34509.76501609141,99380.68051657209,288.28412644253467,111.45339845092106,1.0860901560802771,580
60000,65820.98186554515,34436.67066550153,100257.65253104668,287.6735183726778,112.0430580954838,1.0803742862505585,576
65000,65404.61222050781,35386.59282990518,100791.205050413,295.608880471661,111.7795699340068,1.0829209576553531,575
70000,65010.35975705157,35158.229611644965,100168.58936869653,293.70120330095136,111.30508717562823,1.087537344346498,575
75000,65365.565506940475,35312.23972105036,100677.80522799084,294.9877571164454,112.15197630041466,1.0793250632961928,566
80000,66037.11862796219,35738.12134696813,101775.23997493033,298.54544325074335,111.79542581545124,1.082767367593926,567
85000,65126.634666108876,35129.29096840854,100255.92563451742,293.4594586387679,112.18353242977511,1.0790214597228192,567
90000,65801.81912113447,35299.99204512165,101101.81116625611,294.8854437406686,111.70400630157539,1.0836535136657046,568
95000,64897.323664247175,35587.615491183264,100484.93915543045,297.2881629088113,112.01733047076954,1.0806224216423839,569
100000,65242.27669901925,35148.351672170305,100390.62837118955,293.61868598589064,111.82370349649902,1.0824935602586974,569
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,65115.105374587234,35135.71478096133,100250.82015554857,293.51312122352755,111.7940544871904,1.082780649422713,0
110000,65484.77831842727,35385.485047671405,100870.26336609868,295.59962639434684,111.71487368161475,1.0835480982077992,581
115000,65032.824313423596,34586.93990405325,99619.76421747686,288.92882208589833,112.33923201223247,1.0775259608865526,580
120000,64422.29200696736,35038.580299956724,99460.87230692408,292.7016891841959,111.9576854793538,1.0811981187442536,580
125000,64719.52359127917,35421.67872609201,100141.20231737118,295.9019774234356,112.27320791512167,1.0781596176600794,579
