#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-10433.948554651812,49750.53690086613,39316.58834621432,308.43372359315543,159.62449135424473,0.8960308135780074,0
2000,-10924.448781853192,49424.7849257247,38500.33614387151,306.4141897163472,159.08222334655346,0.8990851387809589,433
3000,-10449.940390893025,49368.212028346294,38918.27163745327,306.0634600462807,158.97350463185694,0.8997000046412629,430
4000,-10258.41835113184,49010.81448324731,38752.39613211547,303.8477361063042,159.0666064734826,0.8991734093413458,432
5000,-10654.548890524544,48961.24490361303,38306.69601308848,303.540424246454,159.2921712438482,0.89790013996462,431
6000,-10683.811017397675,49297.32379394021,38613.512776542535,305.6239809278868,158.62504647236176,0.9016764126215104,431
7000,-10523.622852902394,48611.86575583068,38088.24290292829,301.3744112100311,159.87627246902784,0.8946196996357159,432
8000,-11067.690123159671,49376.54311269993,38308.85298954026,306.1151094862431,159.03737418554965,0.8993386843035245,432
9000,-10560.542198304378,49740.716549935154,39180.174351630776,308.3728412872887,159.23031171542794,0.8982489660055183,432
10000,-10943.41331462271,48382.316105435,37438.90279081229,299.9512938362001,159.3970590379245,0.8973092961589055,432
11000,-10642.606952999544,48910.615378808,38268.00842580845,303.22654114423773,158.48188490714753,0.9024909246815057,431
12000,-9918.91064318706,49118.45886383677,39199.54822064971,304.51508884654174,159.9594547009007,0.8941544788494091,417
13000,-9948.07245776133,49610.23841526881,39662.16595750748,307.563928269871,159.4237063961501,0.8971593126790679,418
14000,-10021.85745259095,49125.44900853072,39103.59155593977,304.5584249890382,158.7251861683628,0.9011075451088558,419
15000,-10074.68232320156,49063.816658701464,38989.134335499904,304.1763287075546,159.56486596201827,0.8963656378413845,420
16000,-10317.580518711242,49138.594111308754,38821.01359259751,304.63991944617186,159.20896098728974,0.8983694257419218,421
17000,-9826.324044862238,48808.17967507971,38981.85563021747,302.5914801479563,159.73393831642346,0.8954168685917493,421
18000,-10592.622623789357,49036.20920242604,38443.586578636685,304.00517335791625,159.2915269362773,0.8979037718204332,422
19000,-10061.267450911924,48821.70175185813,38760.4343009462,302.67531169533817,158.93082598480544,0.8999416064747171,422
