#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-59105.144734218135,31551.346936877682,-27553.797797340452,302.17827686481763,93.84493389840961,1.0340375564287485,0
2000,-59472.90558266727,31047.380905441107,-28425.524677226163,297.35161804474967,93.93689292381586,1.0330252908218822,624
3000,-59415.96065298928,31244.60698371437,-28171.353669274908,299.24052112722825,94.18810930390252,1.0302700292924156,623
4000,-59653.05028485111,31606.893463559114,-28046.156821291996,302.7102653644529,93.97127896127311,1.0326472854702777,623
5000,-59557.126049623126,30896.105453378015,-28661.02059624511,295.9028001693093,94.11446535404858,1.0310762088110244,618
6000,-59669.08826531668,31226.07845447471,-28443.009810841966,299.06306692694704,94.52651157458386,1.0265816913698593,618
7000,-59364.46661530755,30977.562018984205,-28386.904596323348,296.68293816733035,94.18592666242377,1.0302939045164534,619
8000,-59851.866088637034,31596.831972256732,-28255.034116380302,302.61390294574136,93.75318497276899,1.0350494882890042,619
9000,-59894.29169893381,31608.541808955477,-28285.749889978335,302.7260521444135,93.95969037618164,1.032774647756054,619
10000,-59779.4959706348,31234.73950124382,-28544.75646939098,299.14601679890563,93.97239348873572,1.032635038110004,617
11000,-59905.55958249187,31570.023992735663,-28335.535589756208,302.3571535564328,93.78968354831791,1.0346466952469984,617
12000,-60176.974917052314,31150.642908723876,-29026.332008328438,298.3405943404376,93.92305255269913,1.0331775159999335,598
13000,-59790.00638406462,31655.307334410056,-28134.699049654562,303.17394192632395,94.07152801460795,1.0315468259052847,599
14000,-59464.08971100394,31171.29148287191,-28292.798228132026,298.53835295176566,94.07323698904156,1.0315280863869163,600
15000,-59682.07099584979,31083.96563991889,-28598.1053559309,297.7020028332714,94.13137475934877,1.0308909901678807,601
16000,-59891.90297698282,31297.35172895546,-28594.55124802736,299.7456759867819,93.72198640962436,1.0353940398510793,603
17000,-59240.949665979715,31468.415995813626,-27772.53367016609,301.3840182577398,94.29791073629167,1.0290703725441313,604
18000,-58956.67871113209,31051.667136831504,-27905.011574300584,297.3926687808208,94.45129440141687,1.0273992193173502,604
19000,-59299.9039063137,31205.585285558765,-28094.318620754937,298.86679668584105,94.51828912561255,1.026670997002137,605
20000,-59773.95129726891,30935.95564510122,-28837.99565216769,296.2844593831533,94.38777707389046,1.0280905975311063,606
21000,-59520.99020150828,31514.890724682595,-28006.099476825682,301.82912297911605,93.97960753044174,1.0325557712091542,606
22000,-59539.98610848759,31352.42732221535,-28187.55878627224,300.273154192447,93.88348386753327,1.0336129650711325,597
23000,-59721.683479057974,31635.17680743468,-28086.506671623294,302.9811448338268,94.79039871237427,1.0237237890092457,598
24000,-59763.844063928234,31115.61998446143,-28648.224079466803,298.00516755420347,94.30966073627765,1.02894216110992,599
25000,-59578.34742008831,31307.70470646875,-28270.642713619556,299.84483007081025,94.12158379308077,1.0309982282582735,600
26000,-59035.98018268304,30752.41846968476,-28283.56171299828,294.52665970762956,95.07520732100986,1.0206571078397748,601
27000,-60057.29566882452,31041.6483758399,-29015.647292984617,297.2967156052299,94.10440487819767,1.0311864386914704,602
28000,-59599.88828414271,31022.786818791807,-28577.101465350905,297.1160718812335,94.32909064448312,1.0287302195805095,602
29000,-59122.81984206062,31332.414747096092,-27790.405094964528,300.0814867661002,94.12388053893201,1.030973070552388,571
30000,-59314.11661280715,30760.209317232082,-28553.907295575067,294.601275377505,94.54704897963326,1.0263586984341784,572
31000,-59628.86441943457,31531.93126710742,-28096.93315232715,301.99232620961766,94.32175073204361,1.0288102731172282,573
32000,-59841.63226406678,31193.04416350983,-28648.58810055695,298.7466859768345,93.88673075760936,1.033577219575984,568
33000,-59862.03280131705,31130.306694158,-28731.72610715905,298.14582730599795,94.47223835300144,1.0271714508227898,570
34000,-59824.62255889608,31282.663264412724,-28541.959294483357,299.6049994282124,94.716705204024,1.024520288395824,571
35000,-59582.15472511115,31497.974301964918,-28084.18042314623,301.66710848642987,94.70778360550217,1.0246167995625155,572
36000,-59594.50380280631,31446.181363738095,-28148.32243906822,301.17106941531006,93.97402708995635,1.0326170872579339,574
37000,-59762.5404972008,31309.220004153995,-28453.320493046802,299.859342606341,94.1663904880321,1.0305076538307147,575
38000,-60168.24360206467,31112.272675963566,-29055.970926101105,297.9731092108293,94.18627254336693,1.0302901209605508,576
39000,-59769.99999262276,31279.75822569379,-28490.24176692897,299.5771768570851,94.01090333980001,1.0322120380099236,577
40000,-59422.864244660595,31273.857338802238,-28149.006905858358,299.52066200095453,94.99021178192606,1.0215703735276092,579
41000,-59701.14811369183,30736.75550956149,-28964.39260413034,294.37665006429734,94.47524870467153,1.027138721114905,580
42000,-60108.20655356452,31047.132413676092,-29061.07413988843,297.34923815226784,94.27789273331223,1.029288874816365,576
43000,-59719.916962460906,31620.55195265731,-28099.365009803594,302.84107748821185,94.44266292243734,1.0274931172919597,577
44000,-59640.213707587565,31188.73036728287,-28451.483340304694,298.7053712426897,94.93822104678087,1.0221298130677294,578
45000,-59444.629077711375,30981.638065802737,-28462.991011908638,296.7219758922968,94.99022440044307,1.021570237822033,563
46000,-59782.06408446026,30676.31540124427,-29105.748683215992,293.79779402302086,94.57598777224737,1.026044648512826,564
47000,-59730.92378974368,31480.94504799797,-28249.978741745712,301.5040133694347,94.41293167775933,1.0278166815403345,565
48000,-58906.532268874114,31000.39901046046,-27906.133258413654,296.90165601626643,94.73431483926326,1.024329846013837,565
49000,-59217.99886702228,31471.120982163276,-27746.877884859005,301.4099248574078,94.85389163949891,1.0230385327819274,566
50000,-59894.18422941159,31000.313374676796,-28893.870854734796,296.90083585243644,94.72353108562055,1.0244464603395669,567
51000,-59983.626088199555,31554.19616736024,-28429.429920839313,302.2055649409601,94.42938092698304,1.0276376396723799,568
52000,-59920.388344492705,31167.83682190786,-28752.551522584847,298.505266456303,94.21615292363249,1.0299633674300481,565
53000,-59182.35759283911,30928.806231213828,-28253.55136162528,296.2159869476212,94.66936005804112,1.0250326618035113,566
54000,-59789.89284169121,30860.491887533346,-28929.400954157863,295.56171660221196,94.28188128232003,1.0292453312524845,567
55000,-59049.5930356434,31566.59480949143,-27482.998226151965,302.32431106999735,94.62942372297574,1.0254652550311165,568
56000,-59077.5241808517,31342.79192549205,-27734.732255359653,300.18087263044015,94.6517099985609,1.0252238034897023,569
57000,-59507.20065474376,30922.127138470933,-28585.07351627283,296.152018942068,94.3523468438946,1.028476655615993,570
58000,-59434.047963646066,31066.74620688758,-28367.301756758487,297.5370863049089,95.02038734512672,1.0212459540821448,570
59000,-59591.478659392975,31361.891116752537,-28229.58754264044,300.3637922603422,94.7733736163048,1.0239076908288332,571
60000,-59703.599062858964,31275.368838516333,-28428.23022434263,299.5351381619882,94.16549190123787,1.0305174875877565,572
61000,-59697.290548497636,31041.01195225827,-28656.278596239365,297.2906203541575,95.01359571393274,1.0213189533811016,570
62000,-59097.957857095345,31352.64041063381,-27745.317446461537,300.27519501470533,94.35519266798839,1.0284456359808918,568
63000,-59390.8737436097,31347.389313186843,-28043.484430422857,300.22490341918814,94.89136161065994,1.0226345631932388,569
64000,-59383.30317698169,31327.78044353008,-28055.52273345161,300.0371024211515,94.67111102825035,1.0250137035211502,569
65000,-59599.58852829266,31355.661099645327,-28243.927428647334,300.3041252091047,94.70386096449892,1.0246592392669758,567
66000,-59651.462291234464,31198.573021375487,-28452.889269858977,298.7996377809593,95.07125185382792,1.0206995725766468,568
67000,-59703.11801277287,31115.048921124897,-28588.069091647976,297.9996982810419,94.43447930503378,1.0275821590341134,568
68000,-60013.7750404001,31256.083076635885,-28757.691963764213,299.350431680052,94.25681362381368,1.029519059691747,569
69000,-59785.17795676127,31202.037296628612,-28583.140660132656,298.8328163558287,94.89725098517312,1.0225710979413982,570
70000,-59971.48260753509,31134.77286461766,-28836.70974291743,298.18860138142446,94.9190464742916,1.0223362932518663,570
71000,-58866.602911163296,31209.813975054607,-27656.78893610869,298.907296323077,94.74969088168112,1.0241636170898625,571
72000,-59207.57551821583,31399.705102318898,-27807.870415896934,300.72595001616463,94.21290020421404,1.0299989271234475,569
73000,-59553.77041569777,31508.717374481334,-28045.053041216437,301.769998646642,94.47718423539335,1.0271176783778,569
74000,-58537.270735019,31108.297127116817,-27428.973607902186,297.93503399006283,94.59882569443445,1.0257969421837976,570
75000,-59393.60418254818,30920.14435521966,-28473.45982732852,296.13302913388446,95.13074840267747,1.020061207978447,571
76000,-59404.44030790229,31298.687169082907,-28105.753138819382,299.7584659636211,94.55736389676738,1.0262467367160428,571
77000,-59545.043943331635,31243.200971620117,-28301.842971711518,299.22705525799796,94.29039514161875,1.0291523965487857,572
78000,-59517.30915592669,31099.65357927057,-28417.65557665612,297.8522517114044,94.33702950876142,1.0286436475352079,562
79000,-59070.657982651785,31477.51247827111,-27593.145504380675,301.4711384494715,94.49951869281296,1.0268749245905853,563
80000,-59224.18684019201,30968.215349464568,-28255.97149072744,296.5934218466636,94.35512894817563,1.0284463305097857,563
81000,-60010.695053938485,30612.060915416885,-29398.6341385216,293.18240635519805,94.74666730342439,1.0241963004436112,564
82000,-59816.32475014904,31335.47445923492,-28480.85029091412,300.1107906986285,94.50033079632523,1.026866099978799,562
83000,-59451.1461503632,31496.19075198722,-27954.955398375983,301.6500268049396,94.75712413726006,1.0240832762185055,563
84000,-59402.69558080711,31258.610808187583,-28144.084772619524,299.3746406485691,94.23810612505933,1.0297234327136453,564
85000,-59429.2451361242,31128.361595249033,-28300.883540875166,298.12719841393135,94.53502930855134,1.026489194971361,564
86000,-59341.652756617346,31345.800361007517,-27995.85239560983,300.2096854688252,94.21008464025189,1.0300297096863902,565
87000,-59574.545034706534,31176.27463711025,-28398.270397596283,298.58607836152726,94.58515657268786,1.0259451868323033,565
88000,-59765.5721220377,31225.095868862012,-28540.47625317569,299.05365636111884,94.30904725154342,1.0289488544264858,566
89000,-59297.47642313677,31515.421569697646,-27782.054853439127,301.8342070673565,94.28738516813455,1.0291852505877357,566
90000,-58854.58424884116,31035.47308801143,-27819.11116082973,297.2375727154229,94.68439887583796,1.0248698548403823,567
