#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-59079.99597782263,31307.29845393428,-27772.697523888353,299.8409392483017,94.70152663874957,1.0246844963935653,0
10000,-59504.314355140785,31209.302607154394,-28295.01174798639,298.9023987739727,94.54041731265207,1.0264306937699803,637
15000,-59500.665414314426,30915.31398109246,-28585.351433221967,296.08676695264415,94.07040414927317,1.031559149863381,633
20000,-59747.130743229645,30830.061575705735,-28917.06916752391,295.2702748703923,93.89970119694767,1.0334344507443787,636
25000,-59496.121944403916,30809.70954615766,-28686.412398246255,295.0753563703409,94.40702476626502,1.027880990548962,637
30000,-59503.339883014676,31271.197785886085,-28232.14209712859,299.49519053315817,94.35275477972006,1.0284722089787488,638
35000,-59992.51731250115,31620.249711646196,-28372.267600854953,302.8381828204147,94.08365587356798,1.0314138543035853,638
40000,-59324.144410084526,31557.94836171467,-27766.196048369857,302.2415010176909,93.8796756409759,1.0336548935537009,638
45000,-59765.69869498961,31116.017970347693,-28649.680724641916,298.00897920413297,93.66025425062654,1.0360764756399299,637
50000,-59732.55002494098,30504.117553629407,-29228.432471311575,292.1485950529677,94.18543228873315,1.0302993124674242,637
55000,-59626.01314868848,31264.581868463214,-28361.431280225264,299.43182757972477,94.32181571439352,1.0288095643256443,637
60000,-58854.57498269074,31198.04033214985,-27656.534650540892,298.7945360300696,94.00389589091724,1.0322889834707898,614
65000,-59639.63764692756,31169.225230140386,-28470.41241678717,298.518563727197,93.87115632741876,1.033748703308396,616
70000,-59595.585621666105,31413.25885069361,-28182.326770972493,300.85575900140776,94.45715262359397,1.0273355001311988,617
75000,-59682.87105587643,31547.358807685247,-28135.512248191182,302.14008115768365,94.49129877641327,1.0269642537260968,617
80000,-59982.21464849857,31541.235217200065,-28440.979431298507,302.08143339140156,94.19516256867703,1.0301928834273024,618
85000,-59795.02779805503,30464.681175162972,-29330.34662289206,291.77089907331214,94.36087194642599,1.0283837371344295,620
90000,-59082.43335690675,31009.483024800313,-28072.95033210644,296.988656796478,94.09680802050144,1.0312696910014885,621
95000,-58996.626731598866,31433.485453731235,-27563.14127786763,301.0494762479318,94.4448126807464,1.0274697294339745,622
100000,-59755.204014061135,31063.056951035545,-28692.14706302559,297.50175301221265,93.87061049079075,1.0337547143261523,623
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-59388.35877774662,30817.020401876336,-28571.33837587028,295.14537499071537,93.76741181528895,1.0348924456045026,0
110000,-59380.94015220384,31412.440085758793,-27968.500066445045,300.8479174034673,94.06238748529587,1.0316470666524211,631
115000,-59172.98160790617,31198.048110446518,-27974.933497459653,298.7946105255353,94.6836664962897,1.0248777822237323,631
120000,-59513.98994604533,30828.843373553143,-28685.146572492187,295.2586077226132,94.24109078757698,1.029690820857103,591
125000,-59807.27685701614,31317.619578782673,-28489.65727823347,299.9397882682257,94.42270888134163,1.0277102540393679,602
130000,-59180.24905381736,30838.86964392808,-28341.37940988928,295.3546328181928,93.86479487922209,1.0338187630025863,609
135000,-59905.460674514994,31344.24285751068,-28561.217817004315,300.1947687134858,93.84023538863254,1.0340893299089473,613
140000,-59248.01414675912,31067.318322383664,-28180.695824375453,297.5425656549703,93.95173773479165,1.0328620680274434,616
145000,-59567.71950087021,31339.5793510016,-28228.14014986861,300.1501046817448,93.81141225318028,1.0344070492152644,618
150000,-59237.17177145003,31232.843934503853,-28004.327836946173,299.12786229373313,94.21758967506427,1.0299476612190535,620
155000,-59220.048670786724,30927.211770827944,-28292.83689995878,296.20071624323896,94.13906299043558,1.030806798463545,622
160000,-59836.73647810018,30921.187085423415,-28915.549392676767,296.14301572548186,93.79785449186517,1.0345565648300075,572
165000,-58947.358521207934,31260.495448696474,-27686.86307251146,299.39269050940794,94.40402601182257,1.027913641303564,576
170000,-59337.92941583146,30947.906320297447,-28390.023095534012,296.3989151762892,93.61381048379377,1.0365904948215747,580
175000,-59257.193181840004,30954.455109131904,-28302.7380727081,296.46163521576983,93.94180957380111,1.0329712251848253,584
180000,-59410.671754415845,31167.38608276575,-28243.285671650094,298.5009495700049,94.08485889872765,1.031400666030453,586
185000,-59024.87114968675,31224.77703715042,-27800.094112536328,299.0506027983847,94.65158743664644,1.025225131025727,589
190000,-59197.65913117287,31051.126459782197,-28146.532671390672,297.38749052775205,94.56876239198589,1.0261230418698213,592
195000,-59248.576070354495,30920.224336311512,-28328.351734042983,296.13379514075467,94.53625737026674,1.0264758604887332,593
200000,-59638.18390776275,31316.71406512581,-28321.469842636943,299.9311158474554,94.10834241153199,1.0311432934094242,595
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
205000,-59329.33534547663,30673.108444838163,-28656.22690063847,293.7670798806828,93.74336707037608,1.0351578907836598,0
210000,-59161.35906621121,31578.28612565994,-27583.072940551272,302.4362828910784,94.70191361641406,1.0246803092552264,633
215000,-60109.46572562336,31279.32864618401,-28830.13707943935,299.5730626239812,94.8112078571779,1.023499102318232,633
220000,-59951.89369169908,31200.88603857444,-28751.007653124638,298.8217903550772,94.28631790862045,1.029196900292325,635
225000,-59532.58756053407,30986.41942351326,-28546.16813702081,296.76776862618334,94.35388447926704,1.0284598950756703,577
230000,-59839.854960622964,31027.699346554477,-28812.155614068488,297.16312087655353,94.0325818141583,1.0319740696188977,589
235000,-58964.99524326698,31302.161870340628,-27662.833372926354,299.79174439198044,94.2235156102575,1.0298828854244628,596
240000,-59293.5268169092,30938.945010335807,-28354.581806573395,296.31308957879327,94.42658051798638,1.0276681163207522,602
245000,-60113.387579957256,31022.933470104927,-29090.45410985233,297.1174764121141,94.28121350569897,1.0292526212092425,606
250000,-59343.656825312704,30890.729050126825,-28452.92777518588,295.85130847631035,94.42830358852412,1.02764936405489,610
255000,-59012.64529105398,31324.953611979414,-27687.691679074567,300.0100288674082,94.10766707953847,1.0311506930621577,613
260000,-59735.91121872555,31483.663937287307,-28252.247281438245,301.53005312241515,94.25917491352037,1.0294932691757497,611
265000,-59369.885044915485,31703.247908352096,-27666.63713656339,303.63308555828047,94.259907762916,1.0294852650991702,613
270000,-59121.58997377439,30577.233707291685,-28544.356266482704,292.84885401081357,94.76626015944873,1.0239845485962606,615
275000,-59140.69485118985,31016.590702756075,-28124.104148433777,297.05672951240604,94.35481943609679,1.0284497041218985,616
280000,-59654.861092185776,31239.61764273876,-28415.243449447014,299.1927364649216,94.05040818647085,1.0317784686179383,618
285000,-59353.73625818617,31648.4713486363,-27705.264909549867,303.10847130137984,94.80913037969765,1.0235215294444764,619
290000,-59666.74504418025,31058.19006985911,-28608.55497432114,297.45514119020254,93.89444379216734,1.0334923155444893,620
295000,-59216.34242695314,30780.371762098177,-28435.97066485496,294.79437815879686,94.20607517641359,1.0300735483333738,614
300000,-59816.98155947437,31249.44526450746,-28567.53629496691,299.28685903337123,93.88631261502965,1.033581822831058,616
