#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-55443.50614806381,17499.615558116904,-37943.89058994691,299.6895878566209,56.80145714721641,1.0240568603653701,0
10000,-54604.03579629585,17241.563287794645,-37362.4725085012,295.27031485707937,57.384535303942044,1.0136515275808236,689
15000,-55535.93026300485,17369.76881441664,-38166.16144858821,297.4658980289889,56.70203400719111,1.0258524740572714,689
20000,-55604.70627003873,17336.08092960025,-38268.62534043848,296.8889763084599,57.11565048824159,1.018423520928499,687
25000,-56331.89555469062,17743.849568586542,-38588.04598610408,303.8722163089509,56.83684620586964,1.0234192386337833,688
30000,-56041.67837382876,17251.43418631781,-38790.24418751095,295.4393588855243,56.95166467828545,1.021355955070701,688
35000,-55972.138096214505,17244.347873089104,-38727.7902231254,295.318002260067,56.81942797764451,1.0237329719905417,687
40000,-55540.998604930704,17319.688714509997,-38221.30989042071,296.60825150235536,56.632308325667495,1.0271155033246822,687
45000,-55279.58705129183,17534.42231060996,-37745.164740681874,300.28567074053507,56.55121460326063,1.0285883738914903,687
50000,-55628.23537789937,17325.302142152752,-38302.93323574662,296.7043842323078,56.66307341680809,1.026557833220216,687
55000,-56728.29717667913,17653.746847678594,-39074.550329000536,302.32916256562805,55.820990943767164,1.042043877883745,687
60000,-56050.932663242915,17129.181509456383,-38921.751153786536,293.3457212155256,56.89685034936948,1.0223399276617628,684
65000,-56092.24181123637,17187.869526925777,-38904.37228431059,294.35078259582355,56.593403540573505,1.0278215875221963,685
70000,-55954.11531764257,17429.32258573087,-38524.7927319117,298.4857858728787,56.38351688394268,1.031647635426623,686
75000,-56064.306110284175,17570.72574415061,-38493.58036613357,300.90738502902593,56.40305714827603,1.0312902316170722,685
80000,-56154.35653603659,17190.02398836705,-38964.33254766954,294.38767881558584,56.58138017977816,1.0280399962944948,686
85000,-56176.10426068143,17229.374108581633,-38946.7301520998,295.0615691230645,56.474799264174905,1.0299801438560523,686
90000,-56351.225663428544,17531.897900175405,-38819.32776325314,300.24243896094544,56.63696939470309,1.0270309745033186,686
95000,-56007.011019583675,17434.365103811673,-38572.645915772,298.57214149368514,56.77936988646627,1.0244552200326766,686
100000,-56271.0106218938,17581.697518979247,-38689.31310291456,301.0952821097092,56.29272076129491,1.0333116090979737,686
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-55809.143492239295,17341.118380872518,-38468.02511136678,296.97524515765946,56.70816776238266,1.0257415142398978,0
110000,-56255.55629237753,17271.428861343884,-38984.127431033645,295.78177760312366,56.691144789820264,1.0260495194798298,690
115000,-56003.78374242806,17338.49591566578,-38665.28782676228,296.9303341415079,56.65082919018699,1.026779708291231,690
120000,-55979.00967353454,17324.338437578666,-38654.67123595587,296.6878803139409,56.50859777113685,1.0293640997063858,691
125000,-56165.80448123673,17254.040873473055,-38911.76360776367,295.48399969472564,55.99512614670596,1.0388033008079651,689
130000,-56128.291537589044,16984.961849322077,-39143.32968826697,290.8758880718812,56.4070097317129,1.0312179664729442,689
135000,-56177.03395967849,17288.546835546367,-38888.48712413212,296.0749313936538,56.446304731647615,1.0305000858230438,689
140000,-56162.39669610525,17162.192231869318,-39000.20446423593,293.91104619434736,56.5750513647458,1.0281549988411205,690
145000,-56269.30568696535,17286.78739669334,-38982.51829027201,296.0448001314571,56.21102169801092,1.0348134603007026,690
150000,-55917.70735309215,17446.614647937786,-38471.09270515436,298.781921006749,56.95831651555322,1.0212366767278493,689
155000,-56112.1321406425,17917.057225249417,-38195.07491539308,306.83848325730287,56.47378596860829,1.0299986245421895,690
160000,-55999.21374639904,18018.914713547576,-37980.29903285146,308.582843216915,56.47216382090615,1.03002821097538,684
165000,-55821.08377808123,17662.763181716295,-38158.32059636494,302.48357175380494,56.22445595425603,1.0345662022533704,685
170000,-56199.484672526014,17847.076927956383,-38352.40774456963,305.6400359894653,56.54170023599607,1.0287614561920297,685
175000,-56646.3834974058,17245.37383766141,-39401.00965974439,295.3355724117545,56.84304295165317,1.0233076705592667,686
180000,-55571.66405112203,17459.14705049034,-38112.51700063169,298.99654461052796,56.304787757046114,1.0330901542751536,686
185000,-55854.65430589195,17861.444129439347,-37993.2101764526,305.8860814341085,56.615826737782434,1.0274145097229204,686
190000,-56051.478393557714,17337.113350664367,-38714.36504289335,296.906657030769,56.39402266601723,1.0314554472349826,687
195000,-56490.12755525822,17446.813753719103,-39043.313801539116,298.7853307919151,56.22427394485795,1.034569551354364,687
200000,-55973.190863939235,17406.917487458923,-38566.27337648031,298.10208746277897,56.25576291046289,1.0339904546834975,687
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
205000,-56419.972961729625,17381.17758716774,-39038.79537456189,297.6612789156359,56.32857650573392,1.0326538584626825,0
210000,-56372.881340003805,17507.219295507504,-38865.662044496305,299.81980562724516,56.48075016463908,1.0298716235319012,695
