#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,136245.48832732378,44377.9839124799,180623.47223980367,296.52470206678703,139.70670199978616,1.0355085208430606,0
2000,135607.4923661337,44443.292480681615,180050.7848468153,296.9610806946809,139.1531230884495,1.0396279805211865,660
3000,135552.4449818618,44637.09881894113,180189.54380080293,298.2560554016075,139.18292268055808,1.0394053922239477,658
4000,135695.00959463956,44359.211513298564,180054.22110793812,296.39926869682364,140.01723154016247,1.0332119750429754,658
5000,136182.50036688772,44726.54843426732,180909.04880115503,298.85373961788235,140.2764709380547,1.0313025368562714,660
6000,136166.8851586542,44811.80209251137,180978.68725116557,299.42338729860563,139.96243333717445,1.0336164990155021,658
7000,136348.96611843625,44390.3596368625,180739.32575529875,296.6073941510568,140.3061854824248,1.0310841239268265,658
8000,136277.23484483876,45305.93922470821,181583.17406954698,302.7251115543486,140.192155674113,1.0319227894316074,659
9000,135720.91340702423,44593.93775710816,180314.8511641324,297.96766192645214,139.94282925123557,1.0337612946208428,659
10000,135726.44456564734,44637.97270053089,180364.41726617824,298.2618945014313,139.57383637700772,1.0364942606356,658
11000,135017.3703237407,45096.55321155043,180113.92353529113,301.32603661459893,139.40370130437748,1.0377592487576086,659
12000,136068.13284008284,44775.76492549844,180843.89776558126,299.182594246066,139.87120613065036,1.034290647386928,630
13000,135295.54467211242,44208.58241141427,179504.1270835267,295.3927955400684,139.6100929880136,1.0362250840423224,632
14000,136046.24432564015,44642.059108206995,180688.30343384715,298.2891990500352,140.05227474822055,1.032953449701101,633
15000,135797.88544421198,44646.958040671074,180444.84348488305,298.321932724738,139.67288181067755,1.0357592573750523,634
16000,135714.52967130422,44957.56103985616,180672.0907111604,300.3973190689227,139.08409136962152,1.0401439799121326,636
17000,135749.48860296016,44740.878497293874,180490.36710025405,298.949490197222,139.6724278644515,1.0357626236729909,637
18000,136198.85948222375,44837.62315756623,181036.48263979,299.59591842659785,140.12645855671806,1.0324065977954102,638
19000,135350.13184292987,44772.22397346621,180122.35581639607,299.158934321621,140.48109092424707,1.0298003766049286,639
20000,135948.7534173764,44941.028686404345,180889.78210378074,300.28685323092,139.99127123204718,1.0334035762834273,638
21000,135771.7582893532,44908.01253365983,180679.77082301304,300.0662459839737,139.8522540259792,1.0344308094797467,639
22000,135745.06902126005,45312.008874075786,181057.07789533582,302.7656677223331,139.59665090947203,1.0363248645089431,626
23000,135810.6431105381,44599.746489310804,180410.38959984892,298.0064746987758,140.08829388173308,1.032687859428095,627
24000,136473.15300411714,44224.99223266708,180698.1452367842,295.5024426427298,140.0365806703491,1.0330692141092264,629
25000,136189.13468569578,44711.13720358015,180900.27188927593,298.7507648951683,140.40874988135872,1.0303309477642997,630
