#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-51109.11373217858,7502.292126234809,-43606.82160594377,300.7727807469204,30.551740838278654,0.9791634940917331,0
10000,-51310.37291375722,7933.396331457968,-43376.976582299256,318.0560867572577,30.159117067030035,0.9919106465652232,743
15000,-51187.80331587815,7281.621232678262,-43906.182083199885,291.92591139444414,30.06082611336181,0.995153932130194,744
20000,-51022.03430810163,7567.796859068484,-43454.23744903315,303.39891690837055,30.38367317684588,0.984579748988055,744
25000,-51133.54646509804,7420.234688428529,-43713.311776669514,297.48303364900926,30.051821652344927,0.9954521112186808,679
30000,-51295.407240229426,7930.69218225506,-43364.71505797437,317.9476752929175,29.843206504207153,1.002410692885053,691
35000,-51079.72219497082,7628.91827090078,-43450.80392407004,305.8493222899061,29.60773250068611,1.010382990629248,699
40000,-51246.29344008793,7474.198853959113,-43772.09458612882,299.6464994077689,29.98432235505163,0.9976930262275557,705
45000,-51302.71651240415,7587.261854105681,-43715.45465829847,304.17928383971014,30.25020016724865,0.9889240118874522,709
50000,-50746.05649746116,7545.522163745377,-43200.53433371578,302.50590688691415,30.342382287533223,0.9859195967643337,712
55000,-51214.09856483294,7598.78814149457,-43615.310423338364,304.6413817494305,29.910278466944042,1.000162848462122,715
60000,-50951.29981617269,7761.593455926241,-43189.70636024645,311.16837460948665,29.77535938726246,1.0046948189848335,715
65000,-51198.12112289667,7656.958199106629,-43541.16292379004,306.9734650234216,30.112037272713977,0.9934614864767596,717
70000,-51064.8751746628,7527.413857757472,-43537.46131690533,301.77993068458096,29.959966276204085,0.9985041049113041,719
75000,-51090.305210712366,7516.555068064551,-43573.75014264781,301.34459328148716,30.10031489116773,0.9938483839108259,721
80000,-51416.99186202197,7668.972683173156,-43748.019178848815,307.45513512118976,29.769623332696746,1.004888405052053,722
85000,-51345.28586521465,7504.034994848927,-43841.25087036572,300.84265371783704,29.758691853123995,1.0052575381149893,723
90000,-51195.098279620055,7603.04884529339,-43592.04943432666,304.8121967094383,30.280353689339456,0.9879392300601161,723
95000,-51429.01826165966,7796.807279006955,-43632.2109826527,312.5801244201451,29.855713374599354,1.0019907725683497,725
100000,-51065.136688767234,7477.225016200342,-43587.911672566894,299.7678206276002,30.282914524107085,0.9878556862807805,726
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-51401.94893903402,7616.5377435704895,-43785.41119546353,305.3529772303445,29.991271407149263,0.9974618582746345,0
110000,-50519.36448299687,7530.460366000403,-42988.90411699646,301.9020675915924,30.147904245476948,0.9922795649811096,459
115000,-51007.39059792028,7661.656025936096,-43345.73457198418,307.1618045888759,30.227501253785626,0.9896666303519717,569
120000,-51392.92408826295,7573.8834892954865,-43819.04059896747,303.6429346922625,30.17672609647985,0.9913318367986798,582
125000,-51110.53265004151,7648.456011889541,-43462.07663815197,306.63260566355046,29.96285930108537,0.9984076956470699,616
130000,-51037.450686633005,7714.349387918139,-43323.101298714864,309.2743228357756,29.942339544347355,0.9990919134921618,638
135000,-51298.68689995259,7355.110126246389,-43943.5767737062,294.87213882741844,29.927280406340813,0.9995946475462493,655
140000,-51041.65156012215,7583.183562595909,-43458.46799752624,304.0157819315665,30.044073819452226,0.9957088206335475,666
145000,-51554.96239800798,7422.888086250763,-44132.07431175721,297.5894104506577,30.048351526312427,0.995567070745902,675
150000,-51570.961058067856,7578.4508968170385,-43992.510161250815,303.8260456452815,30.11715251996177,0.9932927520278068,681
