#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-49468.56938666773,36575.13988137968,-12893.429505288055,314.21272925361893,127.20298823371849,0.7844994144709643,0
2000,-49773.117184443516,36497.32826030337,-13275.788924140143,313.54425875958043,125.54129028179928,0.7948832576462419,712
3000,-49494.164858851174,37025.86431018382,-12468.300548667357,318.08484986273044,127.20622394839124,0.7844794593446555,712
4000,-49720.02448449243,36467.552667800206,-13252.471816692225,313.28846014292697,127.25780841481073,0.7841614674286275,712
5000,-49528.56282366687,36414.57455917296,-13113.988264493913,312.8333314364763,127.11754884521811,0.7850266992625623,711
6000,-49425.42157823207,36653.53040609446,-12771.891172137606,314.8861730407962,127.94222268454885,0.7799666731939658,711
7000,-49668.37981192756,36956.70778584171,-12711.67202608585,317.490734287788,126.76393717874579,0.7872165539288785,711
8000,-49358.39619070233,36469.07035369021,-12889.325837012126,313.3014984040845,126.24331150145697,0.7904630241512433,711
9000,-49405.12177930567,36357.855624678494,-13047.266154627177,312.3460657345361,127.44766997915099,0.7829932850450207,713
10000,-49258.99514200527,36590.409912366325,-12668.585229638942,314.3439122956432,126.48725060924622,0.7889385634334787,712
11000,-49685.43872328379,36361.62647099467,-13323.81225228912,312.37846063217546,127.58418984147774,0.7821554528997532,711
12000,-49996.46241877941,36591.99877501745,-13404.463643761963,314.35756202799246,126.40013753158719,0.7894822880502925,679
13000,-50075.16209976119,36206.837038700454,-13868.325061060736,311.04868280662174,127.1903765219709,0.7845772024353684,682
14000,-49768.23899589968,36443.4223879621,-13324.81660793758,313.081159744072,127.01278095655108,0.7856742371655165,684
15000,-49937.64927742079,36088.088939552734,-13849.560337868053,310.0285318393829,127.13968321279783,0.7848900301354865,685
16000,-49840.95664567084,36135.81538199583,-13705.14126367501,310.4385440987003,126.94565509212863,0.7860896831473889,687
17000,-49344.845387033594,36127.22744737152,-13217.617939662072,310.3647661613989,127.24711003569122,0.7842273962867925,688
18000,-48431.55595606094,36782.848838881786,-11648.707117179154,315.99713250235095,126.59226830267467,0.7882840802703328,689
19000,-49199.04337835735,36617.519407823966,-12581.523970533388,314.57680678583677,128.26880527219592,0.7779808159633662,690
20000,-49753.34953537217,36871.91488577936,-12881.434649592804,316.76228844625933,126.45694468531545,0.7891276357865151,690
21000,-49306.78086500947,36297.77270695745,-13009.00815805202,311.82990044795406,126.763415799152,0.7872197917609023,690
22000,-49646.797459115565,36414.33383487664,-13232.463624238924,312.8312634023311,126.13514996469225,0.791140850240734,677
23000,-49516.927202387815,36838.29275185289,-12678.634450534926,316.4734446441951,127.40124493362832,0.7832786079939534,679
24000,-48997.0096082212,36654.30133503996,-12342.708273181233,314.8927960007852,127.1392915799549,0.7848924478673306,680
25000,-48607.8520322774,36654.68320284667,-11953.168829430731,314.89607658224435,127.41246230366505,0.7832096482875883,679
26000,-48653.50886278486,36267.17476493145,-12386.33409785341,311.5670371231735,127.4991024517952,0.7826774296394591,680
27000,-49658.94830544021,36717.68224018252,-12941.266065257689,315.437293909802,127.39665641271944,0.7833068198039922,681
28000,-49282.528583421925,36339.996052693525,-12942.5325307284,312.19263625005846,126.80414204228211,0.7869669569234929,682
29000,-49481.22882296663,37059.1834784909,-12422.04534447573,318.371090922756,127.28780316559453,0.7839766835985602,683
30000,-49314.08152564634,36842.94488080456,-12471.136644841776,316.513410537408,127.500389415586,0.7826695294478091,671
31000,-49774.347741974154,36372.82918223781,-13401.518559736345,312.4747018081809,126.35009485908657,0.7897949732416255,672
32000,-49454.56808338585,36014.91439159474,-13439.653691791107,309.39989789566187,126.8399540269374,0.7867447647222912,664
33000,-49452.224626678915,36131.002958247875,-13321.22166843104,310.39720113172666,127.46825444217032,0.7828668418267392,666
34000,-49406.905087192325,36645.54471683245,-12761.360370359871,314.8175689226405,126.99759661746565,0.7857681755103795,666
35000,-49453.458713895685,36225.27028130539,-13228.188432590294,311.207040627991,126.73163030722331,0.7874172339328089,668
36000,-49751.36289098648,36726.520028703184,-13024.842862283294,315.51321831256985,126.92412757942259,0.7862230112699828,668
37000,-48688.87731918406,36542.34801429402,-12146.529304890042,313.9310181764303,128.27894868936946,0.7779192985900952,670
38000,-49292.50173795172,36663.045881989514,-12629.45585596221,314.96791937617127,127.69484550652345,0.781477665699601,671
39000,-49024.31860327514,36806.447692280715,-12217.870910994425,316.19986747910787,127.80753700273833,0.7807886148856078,671
40000,-48971.47499918014,36530.996572098615,-12440.478427081522,313.83349927028945,128.42797663657228,0.7770166002902816,672
41000,-49519.10005015314,36514.732891187494,-13004.367158965644,313.6937798985149,127.07304314045876,0.7853016448028761,673
