#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-42300.48787618711,22412.175937200347,-19888.31193898676,315.0865203505554,81.38453840641593,0.801163076281688,0
2000,-43159.75288179386,22234.4253882876,-20925.327493506258,312.5875750404591,79.90770498810409,0.8159699638621343,788
3000,-42858.05654849298,22170.21105344861,-20687.845495044374,311.6848036461181,80.19539791585723,0.8130427536485454,794
4000,-43225.37720860218,22200.666795274614,-21024.710413327564,312.1129724122183,79.33639391110164,0.8218458633815664,792
5000,-43183.66441702182,22293.84614820698,-20889.81826881484,313.42295490415665,79.57458126178186,0.8193858656566352,795
6000,-43491.72902542044,22056.16265574773,-21435.566369672713,310.08142908383473,79.48042832164504,0.820356514531927,795
7000,-43329.13475309592,22402.410072549774,-20926.724680546144,314.94922478766205,79.77031389885957,0.817375336320214,793
8000,-42976.963813089475,22126.319533714584,-20850.64427937489,311.067745031879,80.51881816996557,0.8097770016173755,793
9000,-43469.43273265517,22151.614719069377,-21317.818013585795,311.4233629762231,80.16509265685644,0.8133501127547526,793
10000,-43122.486801839055,22514.832575802015,-20607.65422603704,316.529741354108,80.39618417930502,0.8110122117988935,793
11000,-42891.76544563193,22273.470450656765,-20618.294994975164,313.1364986645304,80.49391734131675,0.8100275064881416,794
12000,-43164.62308832203,22693.019327331673,-20471.603760990354,319.03481911493617,79.76209298442272,0.8174595815105199,768
13000,-43413.88908509465,22686.987949121085,-20726.901135973563,318.9500256536222,79.01065685463253,0.8252340854653515,770
14000,-43408.162878521485,22621.163310775726,-20786.99956774576,318.02461545214567,79.7433047849947,0.8176521819261056,772
15000,-43423.77881442223,22390.39680574197,-21033.38200868026,314.78033362568294,79.88269123575324,0.8162254694076541,774
16000,-43077.5523211816,22701.09036829193,-20376.461952889673,319.1482876250398,80.7937499721066,0.807021423983414,775
17000,-42932.987187026156,22414.294529660485,-20518.69265736567,315.11630505009447,79.91826900061541,0.8158621047078396,777
18000,-42948.30149154752,22327.73525103564,-20620.566240511882,313.89939233343637,79.87830895053922,0.8162702491839523,777
19000,-43697.108195790905,22473.37831115527,-21223.729884635635,315.9469474282601,79.1551415708616,0.8237277561190224,778
20000,-43283.56506928179,21986.8722976488,-21296.69277163299,309.10729529653935,80.27825268807435,0.812203616399033,779
21000,-43341.96175911708,22130.7533427542,-21211.208416362882,311.13007871452123,79.9639761931798,0.8153957601349311,780
22000,-42878.93980468804,22537.46668220065,-20341.473122487387,316.84794793281657,80.59077910645156,0.8090539373657664,770
23000,-43009.54105372986,22135.404395178364,-20874.136658551495,311.19546656121696,79.62470239414141,0.8188700891929086,772
24000,-43257.9333246153,22311.182797899,-20946.750526716296,313.6666860189445,79.93890882242431,0.8156514532402394,772
25000,-43829.73482449047,22409.816255442136,-21419.918569048335,315.0533462439264,79.8191905347949,0.816874823142015,773
26000,-43409.15347337737,22418.188307689674,-20990.9651656877,315.1710465876262,80.66092919497612,0.8083503103942724,774
27000,-43436.88729838666,22054.06322913557,-21382.82406925109,310.0519138315982,80.13516587991835,0.8136538613915679,775
28000,-43396.80562569352,22317.19303660767,-21079.612589085853,313.75118228590657,80.21918638337391,0.8128016512139931,776
29000,-43122.91762837983,21972.572176282953,-21150.345452096877,308.9062538851931,79.82632077051754,0.8168018583606161,776
30000,-43457.35821620157,22196.7896926321,-21260.568523569465,312.0584653092893,80.04934306120532,0.8145261991918664,777
31000,-42952.04628707265,22064.289997772576,-20887.756289300072,310.1956891148769,80.83133199502119,0.8066462044132282,778
32000,-42934.44003236314,22197.24342225272,-20737.196610110423,312.06484416726994,80.84210152785963,0.8065387455196165,771
33000,-42957.825979170506,22376.209357345975,-20581.61662182453,314.580876252143,80.49972063857665,0.8099691108766841,771
34000,-42708.33852725121,22251.166832750103,-20457.171694501107,312.822938331204,79.95609425896177,0.8154761404461833,772
35000,-43038.327704772906,22342.514618780628,-20695.81308599228,314.1071713357429,80.71761006408235,0.8077826771591078,772
36000,-42906.16034874483,22517.443348280885,-20388.717000463945,316.56644547503316,81.0173945512079,0.804793680574825,773
37000,-42753.282386556035,22296.192501076253,-20457.08988547978,313.4559416236597,79.94896715788792,0.8155488365807663,772
38000,-42643.915909784,22136.427783155836,-20507.488126628166,311.20985408689467,81.45949069775364,0.8004259122288795,772
39000,-42737.117614374176,22508.034286279883,-20229.083328094293,316.43416610091236,80.69518947058977,0.8080071139211223,772
40000,-43081.97565210602,22379.424993962737,-20702.550658143282,314.6260839890057,80.5808606028752,0.8091535218615287,773
41000,-43308.732442159584,22711.88762507575,-20596.844817083835,319.30008324180085,78.87133738988933,0.8266917908229584,773
42000,-43390.76260885733,22156.17966083976,-21234.58294801757,311.48754021729343,79.8866257563782,0.8161852692375555,767
43000,-44146.58999840982,22555.39703983053,-21591.192958579293,317.10002582164225,79.56341602776524,0.8195008511034234,768
44000,-43511.685647853184,22013.97173296236,-21497.713914890825,309.4882786870116,79.36259032936222,0.8215745842071654,768
45000,-43445.562674607005,22626.791227790247,-20818.771446816758,318.1037367652166,80.40815866483462,0.8108914348260619,769
46000,-43407.711144335655,22363.34077794064,-21044.370366395015,314.3999604892986,80.53817515358658,0.8095823754028247,769
47000,-43228.84780206747,22140.946231240272,-21087.901570827195,311.27337768622294,79.7610746195117,0.8174700185834651,770
48000,-43340.873554556514,21917.92354606059,-21422.950008495925,308.1379640597456,79.68775437075921,0.8182221680897919,770
49000,-43294.3564064822,22163.326044899306,-21131.030361582893,311.5880092343456,80.0115507306911,0.8149109291846142,771
50000,-43377.053448319115,22268.26183562991,-21108.791612689205,313.0632722009663,80.0606104011945,0.8144115667456436,772
51000,-43232.393112404156,22073.107575388323,-21159.285537015832,310.31965297526483,80.53316442889974,0.809632747127607,772
52000,-42830.01370215518,22526.372709870313,-20303.640992284865,316.69198087507857,80.76703055768806,0.8072884034640655,768
53000,-42530.397306530154,22117.77160986114,-20412.625696669013,310.9475721584039,80.76780323559528,0.8072806804124393,768
54000,-43188.18493622253,21958.46927710074,-21229.715659121794,308.7079851654298,81.25373575019447,0.8024527924710628,769
55000,-43017.401774931204,22257.614386916448,-20759.787388014756,312.9135826940155,81.35929816209746,0.8014116225725373,769
56000,-42954.64831928114,22792.093947846923,-20162.55437143422,320.427681526898,81.28948023485798,0.802099939168879,770
57000,-43324.88224075595,22453.095526170375,-20871.786714585574,315.66179742043334,80.01560766781095,0.8148696117155061,770
58000,-43441.85743711813,22526.72114787666,-20915.136289241473,316.69687946766885,79.40968001282498,0.8210873931354332,771
59000,-43759.47239376747,22323.796318128367,-21435.676075639105,313.8440159760883,79.01433973583242,0.8251956210662432,771
60000,-43086.40331588496,22389.319898761594,-20697.08341712337,314.76519369129466,80.32814923141636,0.8116991089089943,772
61000,-42638.78157974436,22360.90538647535,-20277.87619326901,314.36572200104837,80.1555068378511,0.8134473815173918,772
62000,-42539.537061239214,22773.57609450097,-19765.960966738243,320.1673441999251,81.16476760994072,0.8033323949721217,768
63000,-43289.09424460985,22593.897497204904,-20695.196747404945,317.64129299623465,80.37277629679323,0.8112484121573248,769
64000,-43119.55538987805,22144.231691315366,-20975.323698562683,311.31956705158007,80.46684132589365,0.810300069905537,769
65000,-42964.409368904424,22399.999658405108,-20564.409710499316,314.9153374485846,80.2871299038404,0.8121138123824071,769
66000,-42681.98045319511,22733.98900831196,-19947.991444883148,319.6108004143925,80.2759640685003,0.8122267718368553,769
67000,-43034.36905329357,22524.31824119673,-20510.050812096844,316.6630976739408,80.04011897606928,0.8146200678555191,769
68000,-42549.269512558065,22353.75768774836,-20195.511824809706,314.26523450145385,80.88142721239295,0.8061465950672398,770
69000,-43100.29986045006,22159.698833051032,-20940.60102739903,311.5370152762824,80.9077301326998,0.8058845186301564,770
70000,-42999.71956710203,22290.161586857143,-20709.55798024489,313.3711546854724,80.80010100996142,0.8069579906021519,770
71000,-42933.0860731946,22491.224253754877,-20441.861819439724,316.19783854975776,80.78441851300559,0.8071146435367653,771
72000,-42586.93624514126,21981.590246635493,-20605.345998505767,309.03303641695715,81.23940420441505,0.8025943541804789,768
73000,-42976.35822574553,22657.21653696312,-20319.14168878241,318.53147768714814,79.73680358128513,0.8177188477963127,768
74000,-42379.02072383469,21766.38194488274,-20612.63877895195,306.00748302402326,80.14951352932661,0.8135082083510331,769
75000,-42807.26273894074,22259.68269749203,-20547.580041448713,312.94266049458645,80.75341122443821,0.8074245553569551,769
76000,-42738.54156953495,22252.77558664171,-20485.76598289324,312.84555535273853,79.82615166704545,0.8168035886711393,769
77000,-43270.43913266639,22112.712451992913,-21157.726680673477,310.87644687128005,79.94794196323218,0.8155592945899184,770
78000,-42705.4952897919,22074.570473557767,-20630.924816234132,310.3402194519482,80.36300259040756,0.811347075765337,770
79000,-42728.443650753616,22433.06444152796,-20295.379209225655,315.3801859974055,80.53205810092673,0.8096438696467272,770
80000,-43113.30797216442,22202.7307653439,-20910.57720682052,312.14198919082384,80.75040373285182,0.8074546273125693,771
81000,-42929.1807845406,22335.405809712884,-20593.774974827717,314.0072305750034,80.92331175301723,0.8057293471929403,771
82000,-43160.29344734427,22013.143176055797,-21147.150271288476,309.476630236931,79.62768336536317,0.8188394336712724,769
83000,-43478.272805581015,21887.267134024827,-21591.005671556188,307.70697412722654,80.5436033980124,0.8095278135154604,769
84000,-42989.14639654482,21911.222561611023,-21077.923834933797,308.04375679138167,80.77814074465171,0.8071773694019617,769
85000,-43102.693782576534,22580.764681964014,-20521.92910061252,317.4566624155961,80.80787070152633,0.8068804014435913,770
86000,-43200.91517602283,22580.988526088106,-20619.92664993472,317.45980937760277,79.9780356295585,0.8152524207202676,770
